"llid","ag","corn","developed","forage","forest","mixed crop","nonag","other","other ag","other non ag","pasture","soybeans","water","wetlands","wheat"
4126,68,29,4,6,7,NA,32,0,1,NA,11,18,3,18,3
4131,40,10,9,2,26,NA,60,0,NA,NA,12,13,16,9,3
4141,52,2,6,1,31,NA,48,1,1,NA,44,3,4,7,NA
4152,84,42,11,0,2,NA,16,0,NA,NA,4,38,2,1,NA
4156,52,10,6,14,29,NA,48,1,6,NA,18,1,5,7,3
4164,71,17,5,1,7,NA,29,0,3,NA,17,31,15,2,2
4192,35,7,7,NA,10,NA,65,1,NA,NA,18,9,43,5,NA
4200,48,5,7,3,19,NA,52,0,NA,NA,34,6,17,9,NA
4202,38,8,13,3,19,NA,62,0,9,NA,13,5,17,13,NA
4204,39,16,5,10,36,NA,61,1,2,NA,6,4,2,17,1
4239,58,17,6,13,32,NA,42,1,9,NA,12,6,NA,3,1
4240,50,9,11,3,15,NA,50,0,1,NA,27,8,2,22,2
4243,57,18,7,12,32,NA,43,1,5,NA,14,8,1,2,NA
4253,49,19,4,13,17,NA,51,0,2,NA,7,6,2,28,2
4254,42,14,6,13,33,NA,58,0,2,NA,8,4,NA,19,1
4259,42,18,16,3,24,NA,58,0,NA,NA,17,3,14,4,1
4262,41,13,5,9,47,NA,59,NA,11,1,3,5,1,6,1
4278,71,18,7,8,17,NA,29,1,1,NA,39,4,3,2,NA
4279,75,26,6,21,18,NA,25,0,7,NA,12,9,NA,1,NA
4280,92,54,6,NA,1,NA,8,NA,NA,NA,4,35,1,NA,NA
4283,49,19,11,20,7,NA,51,1,1,NA,6,2,28,4,1
4284,63,30,5,8,19,NA,37,1,1,NA,15,5,1,12,3
4285,92,53,7,0,1,NA,8,1,NA,NA,5,33,NA,NA,NA
4294,43,10,6,4,33,NA,57,0,1,NA,26,2,13,5,NA
4297,52,12,6,9,38,NA,48,1,2,NA,25,3,4,NA,NA
4300,63,7,13,12,1,NA,37,1,1,NA,33,NA,18,5,9
4306,43,5,6,7,40,NA,57,0,1,NA,30,1,5,5,NA
4312,82,14,4,3,12,NA,18,NA,1,NA,38,26,2,1,NA
4314,88,29,5,1,5,NA,12,NA,NA,NA,30,29,2,NA,NA
4322,83,10,5,2,6,NA,17,NA,NA,NA,36,36,6,1,NA
4332,50,5,1,1,7,NA,50,NA,1,NA,36,NA,25,18,8
4335,26,6,44,4,27,NA,74,0,5,1,7,3,2,1,NA
4340,64,18,8,13,26,NA,36,NA,NA,NA,29,5,1,1,NA
4346,38,15,4,13,15,NA,62,NA,1,NA,5,4,31,12,1
4351,50,8,6,0,37,NA,50,1,NA,NA,30,11,6,1,NA
4355,80,29,8,22,5,NA,20,1,3,NA,15,5,1,6,5
4378,37,5,15,3,18,NA,63,1,1,NA,20,5,19,11,2
4386,46,22,8,5,29,NA,54,NA,9,NA,6,4,8,10,1
4389,66,27,9,0,17,NA,34,1,NA,NA,23,15,6,2,NA
4393,90,63,8,0,1,NA,10,NA,NA,NA,8,20,1,NA,NA
4395,81,59,4,0,8,NA,19,NA,NA,NA,11,11,4,4,NA
4396,45,21,5,NA,25,NA,55,0,NA,NA,21,2,23,3,NA
4401,78,28,4,2,15,NA,22,1,NA,NA,34,14,2,NA,NA
4416,45,13,7,5,19,NA,55,0,2,NA,21,3,4,25,1
4417,73,29,3,6,14,NA,27,1,3,NA,12,10,3,7,12
4420,58,37,23,0,6,NA,42,1,NA,NA,14,6,12,1,NA
4426,59,5,3,4,1,NA,41,NA,NA,1,30,18,26,11,2
4427,37,7,9,3,31,NA,63,0,2,NA,18,7,22,1,NA
4428,61,14,4,32,19,NA,39,0,1,NA,10,3,2,14,1
4434,49,5,7,6,17,NA,51,0,4,NA,33,NA,10,16,2
4440,68,5,20,7,8,NA,32,2,NA,NA,39,16,3,NA,NA
4455,85,13,8,10,7,NA,15,NA,1,NA,56,6,NA,NA,NA
4456,41,9,6,9,42,NA,59,0,1,1,11,8,4,6,3
4467,60,24,13,4,8,NA,40,0,NA,NA,19,10,11,8,3
4468,53,13,15,7,15,NA,47,NA,1,NA,19,11,10,7,3
4472,45,6,6,4,46,NA,55,NA,2,NA,32,1,1,3,NA
4473,89,33,4,0,4,NA,11,1,NA,NA,38,17,3,NA,NA
4477,23,1,1,2,8,NA,77,1,1,NA,13,NA,35,33,5
4481,62,48,2,NA,13,NA,38,NA,NA,NA,8,7,18,5,NA
4490,35,3,9,6,23,NA,65,0,1,NA,24,1,26,7,NA
4494,88,43,7,0,3,NA,12,1,NA,NA,8,36,2,NA,NA
4510,88,42,6,0,4,NA,12,1,NA,NA,14,32,1,NA,NA
4532,67,30,6,0,7,NA,33,NA,NA,NA,17,21,16,4,NA
4539,69,32,4,23,10,NA,31,0,5,NA,5,2,8,9,2
4541,46,14,6,2,42,NA,54,0,18,1,10,1,1,5,NA
4556,43,12,19,0,14,NA,57,2,NA,NA,15,10,20,3,5
4566,80,48,9,1,1,NA,20,0,NA,NA,10,21,8,2,NA
4594,68,33,11,NA,NA,NA,32,NA,NA,NA,4,32,20,1,NA
4601,75,14,7,29,2,NA,25,0,1,NA,24,6,10,6,1
4606,73,8,7,0,12,NA,27,0,NA,NA,57,8,8,NA,NA
4607,92,57,6,0,1,NA,8,0,NA,NA,10,25,1,NA,NA
4621,53,17,8,0,1,NA,47,1,NA,NA,19,17,34,3,NA
4631,88,41,5,0,1,NA,12,0,NA,NA,6,41,4,2,NA
4637,35,20,17,0,3,NA,65,1,NA,NA,10,4,43,2,NA
4642,68,28,8,7,9,NA,32,NA,2,NA,16,13,3,13,3
4644,46,16,4,8,40,NA,54,0,NA,NA,14,8,6,3,1
4648,89,59,6,0,2,NA,11,1,NA,NA,6,24,2,NA,NA
4649,44,9,13,0,3,NA,56,0,NA,NA,19,15,38,3,NA
4650,51,8,13,2,25,NA,49,0,1,1,34,4,2,8,2
4652,73,5,6,1,15,NA,27,NA,1,NA,57,10,6,NA,NA
4653,85,20,5,3,5,NA,15,0,NA,NA,43,19,5,NA,NA
4658,39,8,7,5,39,NA,61,0,4,NA,19,3,11,4,NA
4661,16,3,63,1,9,NA,84,0,1,2,8,2,7,3,1
4667,87,56,5,NA,NA,NA,13,1,NA,NA,7,25,6,NA,NA
4671,56,11,10,6,19,NA,44,0,1,NA,27,10,1,13,2
4678,62,21,4,5,16,NA,38,1,2,NA,18,1,10,8,14
4681,40,17,23,3,13,NA,60,NA,1,NA,12,7,15,9,1
4686,59,13,16,0,4,NA,41,2,NA,NA,25,19,18,3,NA
4691,77,39,9,0,6,NA,23,1,NA,NA,34,4,5,2,NA
4709,68,6,27,0,1,NA,32,1,NA,NA,34,27,4,NA,NA
4717,74,27,10,1,11,NA,26,NA,NA,NA,22,23,4,2,1
4720,60,15,11,1,8,NA,40,0,NA,NA,9,25,15,7,9
4735,57,20,5,6,34,NA,43,0,15,NA,7,7,2,1,3
4746,41,13,4,11,22,NA,59,1,1,NA,12,2,2,31,1
4771,75,20,7,1,15,NA,25,2,NA,NA,22,31,2,NA,NA
4774,54,3,9,0,29,NA,46,NA,NA,NA,45,6,8,1,NA
4790,27,13,4,5,13,NA,73,0,1,NA,5,3,18,37,1
4798,89,30,4,0,5,NA,11,NA,NA,NA,35,24,2,1,NA
4799,74,10,4,0,18,NA,26,NA,1,NA,42,22,4,NA,NA
4805,39,5,7,3,21,NA,61,0,6,NA,19,4,4,29,2
4816,85,47,3,0,10,NA,15,1,NA,NA,20,17,1,1,NA
4818,53,11,6,9,13,NA,47,0,4,NA,21,1,10,19,6
4820,43,8,7,5,27,NA,57,1,1,NA,22,6,2,20,1
4821,89,24,4,1,4,NA,11,0,1,NA,34,29,3,NA,NA
4828,54,8,7,1,23,NA,46,NA,NA,NA,36,9,16,1,NA
4834,56,17,4,19,12,NA,44,NA,4,NA,7,3,9,20,7
4836,41,9,6,10,28,NA,59,1,1,NA,18,2,4,20,1
4860,72,24,5,17,4,NA,28,0,2,NA,15,10,4,15,4
4864,39,10,11,1,28,NA,61,0,1,NA,18,8,13,9,1
4867,58,1,10,NA,23,NA,42,1,NA,NA,54,2,9,NA,NA
4870,71,32,7,5,1,NA,29,0,NA,NA,11,23,20,1,NA
4874,47,5,23,5,13,NA,53,1,2,NA,24,9,5,11,2
4881,41,30,9,1,18,NA,59,0,NA,NA,8,2,19,13,NA
4884,89,27,6,2,NA,NA,11,0,NA,NA,29,32,3,1,NA
4886,85,25,5,1,7,NA,15,1,4,NA,32,19,2,NA,4
4890,85,31,3,1,7,NA,15,2,NA,NA,20,32,4,NA,NA
4894,42,34,36,3,7,NA,58,1,NA,NA,4,1,11,3,NA
4896,46,22,9,7,28,NA,54,0,5,NA,4,7,12,5,1
4899,74,15,4,1,15,NA,26,0,NA,NA,50,8,6,1,NA
4900,37,4,6,6,53,NA,63,1,NA,NA,25,1,3,1,NA
4911,36,5,4,9,50,NA,64,NA,10,NA,7,3,1,9,3
4927,57,7,10,2,30,NA,43,1,2,NA,41,5,2,NA,NA
4928,55,20,4,2,6,NA,45,NA,1,NA,13,17,23,12,3
4933,81,11,4,1,11,NA,19,1,NA,NA,52,16,3,1,NA
4935,46,14,27,1,6,NA,54,NA,NA,NA,14,18,15,6,NA
4936,77,37,8,0,13,NA,23,0,NA,NA,22,18,2,NA,NA
4942,88,26,5,0,4,NA,12,0,NA,NA,33,30,2,NA,NA
4943,45,18,11,12,10,NA,55,1,7,1,8,NA,27,5,NA
4944,63,6,4,3,28,NA,37,1,NA,NA,42,12,4,NA,NA
4951,59,16,6,15,20,NA,41,0,3,NA,20,5,13,1,1
4955,93,53,6,0,NA,NA,7,1,NA,NA,8,31,1,NA,NA
4962,55,10,3,1,32,NA,45,1,NA,NA,32,11,8,2,NA
4967,92,31,3,0,4,NA,8,1,NA,NA,38,22,1,NA,NA
