"lagoslakeid","nhd_long","nhd_lat","tp","tn","no2no3","chla","iws_ha","hu4_zoneid","hu12_zoneid","lake_area_ha","maxdepth","iwsla_ratio","hu12_ppt_mean","hu12_ppt_std","hu12_baseflow_mean","hu4_nitrogen_atmospheric_deposition","hu4_clay_pct","row_crop_pct","pasture_pct","ag_pct","nitrogen_fertilizer_use","phosphorus_fertilizer_use","nitrogen_livestock_manure","phosphorus_livestock_manure","nitrogen_atmospheric_deposition","n_input","p_input","wetland_potential","soil_org_carbon","clay_pct","ag","corn","developed","forage","forest","natural","nfixer","nonag","nonnatural","other.ag","other.non.ag","pasture","smallgrain","sorghum","soybeans","water","wetlands","wheat","lake_ag","lake_forest","lake_developed","lake_natural","lake_cultivated_crops","stream_ag","stream_forest","stream_developed","stream_natural","stream_cultivated_crops","buffer_ag","buffer_forest","buffer_developed","buffer_natural","buffer_cultivated_crops"
6454,-88.313602,37.979353,143,1778,18,178,181.4900493,"HU4_49","HU12_1069",6.568242877,6.7056,27.6314461414823,1143.9507,1.4816,11.7778,3.8893,0,11.17,42.17,53.34,89.8132050619042,15.2511672025989,14.2059039788136,4.78114503964083,6.27163463890779,110.290743679626,20.0323122422397,1.22363847045191,2078.34379380999,13.5662751696609,51.6005733397038,9.84233158146202,25.4658385093168,39.8948877209747,16.3879598662207,22.9335881509795,0.477783086478739,48.3994266602962,77.0664118490205,1.38557095078834,NA,39.8948877209747,0,NA,0.477783086478739,6.35451505016722,0.191113234591495,NA,48.5915492957746,3.52112676056338,47.887323943662,3.52112676056338,48.5915492957746,56.8181818181818,23.8636363636364,18.4659090909091,24.7159090909091,4.26136363636364,56.8181818181818,23.8636363636364,18.4659090909091,24.7159090909091,4.26136363636364
533,-93.473593,44.700302,NA,1982.5,NA,42.28,3895.005896,"HU4_53","HU12_10198",237.6788841,11.207,16.3876816855183,791.8956,10.3985,53.1694,6.1502,0,38.53,31.54,70.07,124.462511114264,21.2343836245644,41.6465087031915,12.0810916277741,11.1414909267351,177.250510744191,33.3154752523385,39.6712774340227,8290.50877031667,14.9302662624862,70.3053534869539,17.415167487041,7.78629611883086,1.67922637975345,11.2079104412597,21.9083503942153,13.9935531646121,29.6946465130461,78.0916496057847,0.137213050485691,0.189484688765954,38.6352746438995,0.124145140915625,NA,12.3143267848586,6.11795966371913,4.39299560047044,0.124145140915625,5.80568720379147,13.7440758293839,58.649289099526,35.5450236966825,2.13270142180095,72.520184544406,7.20876585928489,8.85236447520184,18.6274509803922,44.4059976931949,72.520184544406,7.20876585928489,8.85236447520184,18.6274509803922,44.4059976931949
3163,-93.416973,43.902899,42,1535,105,22.7,1274.273789,"HU4_53","HU12_10016",36.03661813,9.2,35.3605264623648,846.2302,4.6732,51.7197,6.1502,0,77.95,0,77.95,75.798047312357,12.9318041249049,25.3628502977971,7.3574214965521,9.48992011098348,110.650817721138,20.289225621457,45.2629945694337,7211.82150706676,17.646540376223,82.7574362849488,33.7019990382634,5.79102837123034,1.07164937830597,3.5652950470564,11.4515353438208,35.2613862746445,17.2425637150512,88.5484646561792,0.0412172837809988,0.0137390945936663,13.7528336882599,0,NA,34.1897368963385,2.90581850656042,4.96668269561036,NA,16.7259786476868,0,40.2135231316726,43.0604982206406,16.7259786476868,0,0,0,0,NA,16.7259786476868,0,40.2135231316726,43.0604982206406,16.7259786476868
474,-96.358175,44.404672,159,2410,220,24.6,1711.129206,"HU4_53","HU12_9365",393.060859,3.7,4.3533441878526,686.3583,1.9621,32.0794,6.1502,0,48.46,14.38,62.84,63.1799880392455,10.7790538002971,21.1407105496075,6.13263558408409,7.48151308018457,91.8022116690376,16.9116893843812,20.0501444960154,5978.95191649555,14.6324831914273,73.7781391765814,23.2089360609432,4.77617050415133,0.962937601643414,0.676196182487375,21.4456903192673,23.8680133527347,26.2218608234186,78.5543096807327,0.479328939484721,NA,25.0278181973808,1.18976290336386,NA,22.9093554737653,18.5911152957288,2.1783788410511,1.18976290336386,27.0009643201543,2.89296046287367,12.632594021215,60.3664416586307,20.5400192864031,62.7805486284289,0,3.11720698254364,34.1022443890274,42.3940149625935,62.7805486284289,0,3.11720698254364,34.1022443890274,42.3940149625935
81556,-93.321074,44.692922,NA,809.5,NA,5.65,63.35464462,"HU4_53","HU12_10199",15.42090543,6.81,4.10836088111592,798.8811,7.3475,52.6585,6.1502,0,21.42,13.05,34.47,118.231457976932,20.171311929171,39.5615306130763,11.4762675468866,10.5244889700579,168.317477560066,31.6475794760576,11.7355674028941,4132.75157921877,7.84687165090899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7165,-88.577725,37.857432,227,2960,10,NA,1320.92723,"HU4_49","HU12_1048",26.34510714,9.144,50.1393758993079,1153.2784,4.2192,12.7439,3.8893,0,37.49,25.21,62.7,145.486901260158,24.7051094032033,23.0119050762348,7.74489648613786,8.13729885539626,176.636105191789,32.4500058893411,6.41979433065303,2139.87594079836,15.5900509338305,61.1827597728032,10.123621784163,5.15202138322753,27.9051119278316,30.4109589041096,33.6652188439693,22.68626795857,38.8172402271968,66.3347811560307,6.38155696625459,NA,27.9051119278316,0.160374206481791,0.153691947878383,16.6120948880722,3.24757768125626,0.00668225860340795,0.00668225860340795,4.11764705882353,77.6470588235294,9.11764705882353,86.7647058823529,NA,49.2300049677099,45.7029309488326,4.2722305017387,46.4977645305514,34.1778440139096,49.2300049677099,45.7029309488326,4.2722305017387,46.4977645305514,34.1778440139096
135695,-93.805002,44.849267,NA,1170,70,16,269.9582365,"HU4_53","HU12_19623",34.61332114,7.3152,7.79925842446912,772.0677,2.5433,53.0513,6.1502,0,30.12,7.38,37.5,106.83619207764,18.2271807571159,35.7485508153734,10.370173428909,10.9085689601243,153.493311853137,28.5973541860249,35.2485931937373,7825.64636232075,14.4816745747831,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
758,-96.137309,45.355494,223,2285,110,36.7,2581.155716,"HU4_53","HU12_10603",775.2952933,4.1,3.32925497975547,635.5981,5.7348,34.2941,6.1502,0,66.78,0,66.78,62.4331839319746,10.651642543974,20.890821780093,6.06014621546083,7.4551043912159,90.7791101032835,16.7117887594348,42.0180227627416,5917.42199864143,14.6161890054712,55.8189424005149,19.3982623619007,4.25560441917838,0.0187707819371447,0.992169902391934,39.9254531803068,19.4974793521399,44.1810575994851,60.0745468196932,2.50187707819371,0.00536308055346991,11.1981121956452,3.22321141263542,NA,19.4787085702027,26.8019950659659,12.1259251313955,3.22321141263542,41.8313836224284,8.55183541750706,10.7704719645018,47.3981444130698,41.8313836224284,47.4543501611171,0.236305048335124,3.95273899033297,48.59291084855,45.6498388829216,47.4543501611171,0.236305048335124,3.95273899033297,48.59291084855,45.6498388829216
134664,-93.39116,44.693066,NA,1760,NA,18.17,747.1537723,"HU4_53","HU12_10199",59.97771385,3.5,12.457189918385,798.8811,7.3475,52.6585,6.1502,0,10.46,28.57,39.03,124.462511114264,21.2343836245644,41.6465087031915,12.0810916277741,11.1414909267351,177.250510744191,33.3154752523385,32.5611575459168,6866.89775106871,16.3800759749285,50.8523676880223,3.59888579387187,14.3398328690808,1.25905292479109,21.4930362116992,34.8077994428969,1.97214484679666,49.1476323119777,65.1922005571031,0.0557103064066852,0.445682451253482,45.1810584958217,0.0445682451253482,NA,0.713091922005571,7.37604456824513,5.49303621169916,0.0445682451253482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
156,-94.647752,43.973548,51,1950,520,16.5,1599.226211,"HU4_53","HU12_9998",78.30641869,3.6,20.4226708072429,751.2727,3.5209,49.4861,6.1502,0,84.01,0,84.01,66.936770135975,11.4199934014804,22.3977706626226,6.49729180329297,9.32878154555354,98.6633223441512,17.9172852047733,58.5954133901438,7288.86016941575,17.2992368920585,81.08238575413,37.3256811842952,9.63312593863978,0.0429092469427162,0.525638275048273,9.28448830723021,39.707144389616,18.91761424587,90.7155116927698,0.0536365586783952,0.273546449259815,3.94228706286205,0.0536365586783952,NA,39.6642351426732,4.84338124865909,3.64192233426303,0.0536365586783952,39.8589065255732,0.17636684303351,38.6243386243386,21.5167548500882,39.8589065255732,0,0,0,0,NA,39.8589065255732,0.17636684303351,38.6243386243386,21.5167548500882,39.8589065255732
132581,-93.747211,44.83856,NA,3060,910,29,1425.553926,"HU4_53","HU12_19623",35.81586871,11,39.8022992976288,772.0677,2.5433,53.0513,6.1502,0,37.93,29.08,67.01,106.83619207764,18.2271807571159,35.7485508153734,10.370173428909,10.9085689601243,153.493311853137,28.5973541860249,36.4485169714627,8116.24726267382,17.0398922280663,67.6707940614797,16.2631676215117,9.08026858867739,1.81728577588862,15.0249491776012,23.2489373498429,13.645044046079,32.3292059385203,76.7510626501571,0.0677631984229656,0.659151111932483,37.6701780324031,0.0246411630628966,NA,11.8277582701904,2.7043676461529,4.86046941415635,0.0246411630628966,36.2666666666667,26.1333333333333,2.66666666666667,61.0666666666666,0.8,70.7595659623073,11.3649343232439,5.88235294117647,23.3580810965163,48.6579097658481,70.7595659623073,11.3649343232439,5.88235294117647,23.3580810965163,48.6579097658481
