"95",675,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","4820"
"code","n","class","description","color","llid"
"21",136,"developed","Developed, Open Space","#DDC9C9","4259"
"22",93,"developed","Developed, Low Intensity","#D89382","4259"
"23",14,"developed","Developed, Medium Intensity","#ED0000","4259"
"24",2,"developed","Developed, High Intensity","#AA0000","4259"
"41",351,"forest","Deciduous Forest","#68AA63","4259"
"43",174,"forest","Mixed Forest","#B5C98E","4259"
"52",7,"shrubland","Scrub/Shrub","#CCBA7C","4259"
"71",74,"herbaceous","Grassland/Herbaceous","#E2E2C1","4259"
"81",58,"planted","Pasture/Hay","#DBD83D","4259"
"82",205,"planted","Cultivated Crops","#AA7028","4259"
"90",68,"wetlands","Woody Wetlands","#BAD8EA","4259"
"95",43,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","4259"
"code","n","class","description","color","llid"
NA,NA,NA,NA,NA,"7385"
"code","n","class","description","color","llid"
"21",10,"developed","Developed, Open Space","#DDC9C9","5242"
"22",20,"developed","Developed, Low Intensity","#D89382","5242"
"23",7,"developed","Developed, Medium Intensity","#ED0000","5242"
"24",2,"developed","Developed, High Intensity","#AA0000","5242"
"41",89,"forest","Deciduous Forest","#68AA63","5242"
"43",73,"forest","Mixed Forest","#B5C98E","5242"
"71",11,"herbaceous","Grassland/Herbaceous","#E2E2C1","5242"
"81",2,"planted","Pasture/Hay","#DBD83D","5242"
"82",142,"planted","Cultivated Crops","#AA7028","5242"
"90",102,"wetlands","Woody Wetlands","#BAD8EA","5242"
"95",6,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","5242"
"code","n","class","description","color","llid"
"21",10,"developed","Developed, Open Space","#DDC9C9","4894"
"22",20,"developed","Developed, Low Intensity","#D89382","4894"
"23",7,"developed","Developed, Medium Intensity","#ED0000","4894"
"24",2,"developed","Developed, High Intensity","#AA0000","4894"
"41",89,"forest","Deciduous Forest","#68AA63","4894"
"43",73,"forest","Mixed Forest","#B5C98E","4894"
"71",11,"herbaceous","Grassland/Herbaceous","#E2E2C1","4894"
"81",2,"planted","Pasture/Hay","#DBD83D","4894"
"82",142,"planted","Cultivated Crops","#AA7028","4894"
"90",102,"wetlands","Woody Wetlands","#BAD8EA","4894"
"95",6,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","4894"
"code","n","class","description","color","llid"
NA,NA,NA,NA,NA,"2736"
"code","n","class","description","color","llid"
"21",21938,"developed","Developed, Open Space","#DDC9C9","6963"
"22",16413,"developed","Developed, Low Intensity","#D89382","6963"
"23",5442,"developed","Developed, Medium Intensity","#ED0000","6963"
"24",1492,"developed","Developed, High Intensity","#AA0000","6963"
"31",1368,"barren","Barren Land (Rock/Sand/Clay)","#B2ADA3","6963"
"41",55362,"forest","Deciduous Forest","#68AA63","6963"
"42",97,"forest","Evergreen Forest","#1C6330","6963"
"43",5210,"forest","Mixed Forest","#B5C98E","6963"
"52",831,"shrubland","Scrub/Shrub","#CCBA7C","6963"
"71",4402,"herbaceous","Grassland/Herbaceous","#E2E2C1","6963"
"81",25007,"planted","Pasture/Hay","#DBD83D","6963"
"82",122853,"planted","Cultivated Crops","#AA7028","6963"
"90",32845,"wetlands","Woody Wetlands","#BAD8EA","6963"
"95",19237,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","6963"
"code","n","class","description","color","llid"
"21",809,"developed","Developed, Open Space","#DDC9C9","4650"
"22",137,"developed","Developed, Low Intensity","#D89382","4650"
"23",16,"developed","Developed, Medium Intensity","#ED0000","4650"
"24",2,"developed","Developed, High Intensity","#AA0000","4650"
"41",2187,"forest","Deciduous Forest","#68AA63","4650"
"42",24,"forest","Evergreen Forest","#1C6330","4650"
"43",140,"forest","Mixed Forest","#B5C98E","4650"
"52",7,"shrubland","Scrub/Shrub","#CCBA7C","4650"
"71",7,"herbaceous","Grassland/Herbaceous","#E2E2C1","4650"
"81",287,"planted","Pasture/Hay","#DBD83D","4650"
"82",966,"planted","Cultivated Crops","#AA7028","4650"
"90",2632,"wetlands","Woody Wetlands","#BAD8EA","4650"
"95",2348,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","4650"
"code","n","class","description","color","llid"
"21",23,"developed","Developed, Open Space","#DDC9C9","4720"
"22",16,"developed","Developed, Low Intensity","#D89382","4720"
"41",74,"forest","Deciduous Forest","#68AA63","4720"
"52",6,"shrubland","Scrub/Shrub","#CCBA7C","4720"
"82",441,"planted","Cultivated Crops","#AA7028","4720"
"90",26,"wetlands","Woody Wetlands","#BAD8EA","4720"
"code","n","class","description","color","llid"
"21",10,"developed","Developed, Open Space","#DDC9C9","5035"
"22",20,"developed","Developed, Low Intensity","#D89382","5035"
"23",7,"developed","Developed, Medium Intensity","#ED0000","5035"
"24",2,"developed","Developed, High Intensity","#AA0000","5035"
"41",89,"forest","Deciduous Forest","#68AA63","5035"
"43",73,"forest","Mixed Forest","#B5C98E","5035"
"71",11,"herbaceous","Grassland/Herbaceous","#E2E2C1","5035"
"81",2,"planted","Pasture/Hay","#DBD83D","5035"
"82",142,"planted","Cultivated Crops","#AA7028","5035"
"90",102,"wetlands","Woody Wetlands","#BAD8EA","5035"
"95",6,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","5035"
"code","n","class","description","color","llid"
"21",123,"developed","Developed, Open Space","#DDC9C9","4874"
"22",43,"developed","Developed, Low Intensity","#D89382","4874"
"41",708,"forest","Deciduous Forest","#68AA63","4874"
"43",47,"forest","Mixed Forest","#B5C98E","4874"
"81",64,"planted","Pasture/Hay","#DBD83D","4874"
"82",384,"planted","Cultivated Crops","#AA7028","4874"
"90",419,"wetlands","Woody Wetlands","#BAD8EA","4874"
"95",895,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","4874"
"code","n","class","description","color","llid"
NA,NA,NA,NA,NA,"4556"
"code","n","class","description","color","llid"
"21",1070,"developed","Developed, Open Space","#DDC9C9","2209"
"22",957,"developed","Developed, Low Intensity","#D89382","2209"
"23",346,"developed","Developed, Medium Intensity","#ED0000","2209"
"24",52,"developed","Developed, High Intensity","#AA0000","2209"
"31",80,"barren","Barren Land (Rock/Sand/Clay)","#B2ADA3","2209"
"41",1222,"forest","Deciduous Forest","#68AA63","2209"
"42",10,"forest","Evergreen Forest","#1C6330","2209"
"43",112,"forest","Mixed Forest","#B5C98E","2209"
"52",59,"shrubland","Scrub/Shrub","#CCBA7C","2209"
"71",37,"herbaceous","Grassland/Herbaceous","#E2E2C1","2209"
"81",441,"planted","Pasture/Hay","#DBD83D","2209"
"82",3105,"planted","Cultivated Crops","#AA7028","2209"
"90",409,"wetlands","Woody Wetlands","#BAD8EA","2209"
"95",700,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","2209"
"code","n","class","description","color","llid"
"21",21938,"developed","Developed, Open Space","#DDC9C9","6956"
"22",16413,"developed","Developed, Low Intensity","#D89382","6956"
"23",5442,"developed","Developed, Medium Intensity","#ED0000","6956"
"24",1492,"developed","Developed, High Intensity","#AA0000","6956"
"31",1368,"barren","Barren Land (Rock/Sand/Clay)","#B2ADA3","6956"
"41",55362,"forest","Deciduous Forest","#68AA63","6956"
"42",97,"forest","Evergreen Forest","#1C6330","6956"
"43",5210,"forest","Mixed Forest","#B5C98E","6956"
"52",831,"shrubland","Scrub/Shrub","#CCBA7C","6956"
"71",4402,"herbaceous","Grassland/Herbaceous","#E2E2C1","6956"
"81",25007,"planted","Pasture/Hay","#DBD83D","6956"
"82",122853,"planted","Cultivated Crops","#AA7028","6956"
"90",32845,"wetlands","Woody Wetlands","#BAD8EA","6956"
"95",19237,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","6956"
"code","n","class","description","color","llid"
"21",197,"developed","Developed, Open Space","#DDC9C9","6538"
"22",245,"developed","Developed, Low Intensity","#D89382","6538"
"23",56,"developed","Developed, Medium Intensity","#ED0000","6538"
"24",14,"developed","Developed, High Intensity","#AA0000","6538"
"41",450,"forest","Deciduous Forest","#68AA63","6538"
"43",125,"forest","Mixed Forest","#B5C98E","6538"
"52",36,"shrubland","Scrub/Shrub","#CCBA7C","6538"
"71",134,"herbaceous","Grassland/Herbaceous","#E2E2C1","6538"
"81",410,"planted","Pasture/Hay","#DBD83D","6538"
"82",306,"planted","Cultivated Crops","#AA7028","6538"
"90",264,"wetlands","Woody Wetlands","#BAD8EA","6538"
"95",197,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","6538"
"code","n","class","description","color","llid"
NA,NA,NA,NA,NA,"2042"
"code","n","class","description","color","llid"
"21",44,"developed","Developed, Open Space","#DDC9C9","7026"
"22",40,"developed","Developed, Low Intensity","#D89382","7026"
"41",238,"forest","Deciduous Forest","#68AA63","7026"
"81",9,"planted","Pasture/Hay","#DBD83D","7026"
"82",1049,"planted","Cultivated Crops","#AA7028","7026"
"code","n","class","description","color","llid"
"21",25,"developed","Developed, Open Space","#DDC9C9","5241"
"22",13,"developed","Developed, Low Intensity","#D89382","5241"
"81",81,"planted","Pasture/Hay","#DBD83D","5241"
"82",261,"planted","Cultivated Crops","#AA7028","5241"
"90",15,"wetlands","Woody Wetlands","#BAD8EA","5241"
"95",10,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","5241"
"code","n","class","description","color","llid"
"21",1130,"developed","Developed, Open Space","#DDC9C9","4494"
"22",233,"developed","Developed, Low Intensity","#D89382","4494"
"23",33,"developed","Developed, Medium Intensity","#ED0000","4494"
"24",1,"developed","Developed, High Intensity","#AA0000","4494"
"41",1508,"forest","Deciduous Forest","#68AA63","4494"
"71",1306,"herbaceous","Grassland/Herbaceous","#E2E2C1","4494"
"81",2568,"planted","Pasture/Hay","#DBD83D","4494"
"82",15627,"planted","Cultivated Crops","#AA7028","4494"
"90",499,"wetlands","Woody Wetlands","#BAD8EA","4494"
"95",22,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","4494"
"code","n","class","description","color","llid"
NA,NA,NA,NA,NA,"4935"
"code","n","class","description","color","llid"
"21",31,"developed","Developed, Open Space","#DDC9C9","4816"
"41",201,"forest","Deciduous Forest","#68AA63","4816"
"52",10,"shrubland","Scrub/Shrub","#CCBA7C","4816"
"81",285,"planted","Pasture/Hay","#DBD83D","4816"
"82",519,"planted","Cultivated Crops","#AA7028","4816"
"90",23,"wetlands","Woody Wetlands","#BAD8EA","4816"
"95",7,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","4816"
"code","n","class","description","color","llid"
"21",151,"developed","Developed, Open Space","#DDC9C9","4821"
"22",59,"developed","Developed, Low Intensity","#D89382","4821"
"23",5,"developed","Developed, Medium Intensity","#ED0000","4821"
"41",658,"forest","Deciduous Forest","#68AA63","4821"
"42",11,"forest","Evergreen Forest","#1C6330","4821"
"52",46,"shrubland","Scrub/Shrub","#CCBA7C","4821"
"71",34,"herbaceous","Grassland/Herbaceous","#E2E2C1","4821"
"81",3449,"planted","Pasture/Hay","#DBD83D","4821"
"82",2925,"planted","Cultivated Crops","#AA7028","4821"
"90",14,"wetlands","Woody Wetlands","#BAD8EA","4821"
"code","n","class","description","color","llid"
"21",99,"developed","Developed, Open Space","#DDC9C9","4653"
"22",24,"developed","Developed, Low Intensity","#D89382","4653"
"41",182,"forest","Deciduous Forest","#68AA63","4653"
"52",8,"shrubland","Scrub/Shrub","#CCBA7C","4653"
"81",1980,"planted","Pasture/Hay","#DBD83D","4653"
"82",778,"planted","Cultivated Crops","#AA7028","4653"
"90",18,"wetlands","Woody Wetlands","#BAD8EA","4653"
"95",36,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","4653"
"code","n","class","description","color","llid"
"21",151,"developed","Developed, Open Space","#DDC9C9","4955"
"22",15,"developed","Developed, Low Intensity","#D89382","4955"
"41",22,"forest","Deciduous Forest","#68AA63","4955"
"71",605,"herbaceous","Grassland/Herbaceous","#E2E2C1","4955"
"81",522,"planted","Pasture/Hay","#DBD83D","4955"
"82",1167,"planted","Cultivated Crops","#AA7028","4955"
"90",6,"wetlands","Woody Wetlands","#BAD8EA","4955"
"95",7,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","4955"
"code","n","class","description","color","llid"
"21",211,"developed","Developed, Open Space","#DDC9C9","4566"
"22",28,"developed","Developed, Low Intensity","#D89382","4566"
"41",3,"forest","Deciduous Forest","#68AA63","4566"
"71",358,"herbaceous","Grassland/Herbaceous","#E2E2C1","4566"
"81",545,"planted","Pasture/Hay","#DBD83D","4566"
"82",2588,"planted","Cultivated Crops","#AA7028","4566"
"90",24,"wetlands","Woody Wetlands","#BAD8EA","4566"
"95",524,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","4566"
"code","n","class","description","color","llid"
"21",13,"developed","Developed, Open Space","#DDC9C9","4312"
"22",2,"developed","Developed, Low Intensity","#D89382","4312"
"41",289,"forest","Deciduous Forest","#68AA63","4312"
"81",348,"planted","Pasture/Hay","#DBD83D","4312"
"82",134,"planted","Cultivated Crops","#AA7028","4312"
"90",10,"wetlands","Woody Wetlands","#BAD8EA","4312"
"code","n","class","description","color","llid"
"21",6,"developed","Developed, Open Space","#DDC9C9","4933"
"41",8,"forest","Deciduous Forest","#68AA63","4933"
"52",62,"shrubland","Scrub/Shrub","#CCBA7C","4933"
"81",131,"planted","Pasture/Hay","#DBD83D","4933"
"82",75,"planted","Cultivated Crops","#AA7028","4933"
"90",7,"wetlands","Woody Wetlands","#BAD8EA","4933"
"code","n","class","description","color","llid"
"21",46,"developed","Developed, Open Space","#DDC9C9","4944"
"22",9,"developed","Developed, Low Intensity","#D89382","4944"
"41",1141,"forest","Deciduous Forest","#68AA63","4944"
"71",36,"herbaceous","Grassland/Herbaceous","#E2E2C1","4944"
"81",567,"planted","Pasture/Hay","#DBD83D","4944"
"82",177,"planted","Cultivated Crops","#AA7028","4944"
"90",13,"wetlands","Woody Wetlands","#BAD8EA","4944"
"95",10,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","4944"
"code","n","class","description","color","llid"
NA,NA,NA,NA,NA,"4396"
"code","n","class","description","color","llid"
"21",12,"developed","Developed, Open Space","#DDC9C9","5541"
"22",4,"developed","Developed, Low Intensity","#D89382","5541"
"41",228,"forest","Deciduous Forest","#68AA63","5541"
"52",1,"shrubland","Scrub/Shrub","#CCBA7C","5541"
"71",8,"herbaceous","Grassland/Herbaceous","#E2E2C1","5541"
"81",156,"planted","Pasture/Hay","#DBD83D","5541"
"82",2,"planted","Cultivated Crops","#AA7028","5541"
"90",17,"wetlands","Woody Wetlands","#BAD8EA","5541"
"95",8,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","5541"
"code","n","class","description","color","llid"
NA,NA,NA,NA,NA,"4481"
"code","n","class","description","color","llid"
"21",12,"developed","Developed, Open Space","#DDC9C9","4351"
"22",4,"developed","Developed, Low Intensity","#D89382","4351"
"41",228,"forest","Deciduous Forest","#68AA63","4351"
"52",1,"shrubland","Scrub/Shrub","#CCBA7C","4351"
"71",8,"herbaceous","Grassland/Herbaceous","#E2E2C1","4351"
"81",156,"planted","Pasture/Hay","#DBD83D","4351"
"82",2,"planted","Cultivated Crops","#AA7028","4351"
"90",17,"wetlands","Woody Wetlands","#BAD8EA","4351"
"95",8,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","4351"
"code","n","class","description","color","llid"
"21",4,"developed","Developed, Open Space","#DDC9C9","4440"
"22",6,"developed","Developed, Low Intensity","#D89382","4440"
"41",29,"forest","Deciduous Forest","#68AA63","4440"
"43",1,"forest","Mixed Forest","#B5C98E","4440"
"81",147,"planted","Pasture/Hay","#DBD83D","4440"
"code","n","class","description","color","llid"
NA,NA,NA,NA,NA,"4962"
"code","n","class","description","color","llid"
"21",625,"developed","Developed, Open Space","#DDC9C9","3991"
"22",238,"developed","Developed, Low Intensity","#D89382","3991"
"23",45,"developed","Developed, Medium Intensity","#ED0000","3991"
"24",1,"developed","Developed, High Intensity","#AA0000","3991"
"41",1236,"forest","Deciduous Forest","#68AA63","3991"
"42",22,"forest","Evergreen Forest","#1C6330","3991"
"52",62,"shrubland","Scrub/Shrub","#CCBA7C","3991"
"71",37,"herbaceous","Grassland/Herbaceous","#E2E2C1","3991"
"81",138,"planted","Pasture/Hay","#DBD83D","3991"
"82",4466,"planted","Cultivated Crops","#AA7028","3991"
"90",569,"wetlands","Woody Wetlands","#BAD8EA","3991"
"95",496,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","3991"
"code","n","class","description","color","llid"
"21",16,"developed","Developed, Open Space","#DDC9C9","86937"
"22",9,"developed","Developed, Low Intensity","#D89382","86937"
"41",86,"forest","Deciduous Forest","#68AA63","86937"
"43",5,"forest","Mixed Forest","#B5C98E","86937"
"52",5,"shrubland","Scrub/Shrub","#CCBA7C","86937"
"81",165,"planted","Pasture/Hay","#DBD83D","86937"
"82",139,"planted","Cultivated Crops","#AA7028","86937"
"90",27,"wetlands","Woody Wetlands","#BAD8EA","86937"
"code","n","class","description","color","llid"
NA,NA,NA,NA,NA,"93208"
"code","n","class","description","color","llid"
"21",20,"developed","Developed, Open Space","#DDC9C9","6202"
"41",225,"forest","Deciduous Forest","#68AA63","6202"
"52",5,"shrubland","Scrub/Shrub","#CCBA7C","6202"
"71",1,"herbaceous","Grassland/Herbaceous","#E2E2C1","6202"
"81",105,"planted","Pasture/Hay","#DBD83D","6202"
"82",186,"planted","Cultivated Crops","#AA7028","6202"
"code","n","class","description","color","llid"
NA,NA,NA,NA,NA,"78556"
"code","n","class","description","color","llid"
NA,NA,NA,NA,NA,"134511"
"code","n","class","description","color","llid"
NA,NA,NA,NA,NA,"19188"
"code","n","class","description","color","llid"
"21",147,"developed","Developed, Open Space","#DDC9C9","133500"
"22",37,"developed","Developed, Low Intensity","#D89382","133500"
"23",1,"developed","Developed, Medium Intensity","#ED0000","133500"
"41",1727,"forest","Deciduous Forest","#68AA63","133500"
"71",116,"herbaceous","Grassland/Herbaceous","#E2E2C1","133500"
"81",689,"planted","Pasture/Hay","#DBD83D","133500"
"82",93,"planted","Cultivated Crops","#AA7028","133500"
"90",47,"wetlands","Woody Wetlands","#BAD8EA","133500"
"95",15,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","133500"
"code","n","class","description","color","llid"
"41",67,"forest","Deciduous Forest","#68AA63","125242"
"81",63,"planted","Pasture/Hay","#DBD83D","125242"
"82",81,"planted","Cultivated Crops","#AA7028","125242"
"90",11,"wetlands","Woody Wetlands","#BAD8EA","125242"
"code","n","class","description","color","llid"
NA,NA,NA,NA,NA,"15979"
"code","n","class","description","color","llid"
"21",51,"developed","Developed, Open Space","#DDC9C9","127213"
"22",66,"developed","Developed, Low Intensity","#D89382","127213"
"23",7,"developed","Developed, Medium Intensity","#ED0000","127213"
"41",458,"forest","Deciduous Forest","#68AA63","127213"
"43",1,"forest","Mixed Forest","#B5C98E","127213"
"52",28,"shrubland","Scrub/Shrub","#CCBA7C","127213"
"71",10,"herbaceous","Grassland/Herbaceous","#E2E2C1","127213"
"81",618,"planted","Pasture/Hay","#DBD83D","127213"
"82",1141,"planted","Cultivated Crops","#AA7028","127213"
"90",11,"wetlands","Woody Wetlands","#BAD8EA","127213"
"95",15,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","127213"
"code","n","class","description","color","llid"
"21",3,"developed","Developed, Open Space","#DDC9C9","55761"
"22",19,"developed","Developed, Low Intensity","#D89382","55761"
"23",2,"developed","Developed, Medium Intensity","#ED0000","55761"
"81",183,"planted","Pasture/Hay","#DBD83D","55761"
"82",12,"planted","Cultivated Crops","#AA7028","55761"
"90",9,"wetlands","Woody Wetlands","#BAD8EA","55761"
"code","n","class","description","color","llid"
NA,NA,NA,NA,NA,"40167"
"code","n","class","description","color","llid"
NA,NA,NA,NA,NA,"6181"
"code","n","class","description","color","llid"
"21",99,"developed","Developed, Open Space","#DDC9C9","5155"
"22",12,"developed","Developed, Low Intensity","#D89382","5155"
"23",6,"developed","Developed, Medium Intensity","#ED0000","5155"
"41",51,"forest","Deciduous Forest","#68AA63","5155"
"71",316,"herbaceous","Grassland/Herbaceous","#E2E2C1","5155"
"81",382,"planted","Pasture/Hay","#DBD83D","5155"
"82",1395,"planted","Cultivated Crops","#AA7028","5155"
"95",19,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","5155"
"code","n","class","description","color","llid"
"21",99,"developed","Developed, Open Space","#DDC9C9","4621"
"22",7,"developed","Developed, Low Intensity","#D89382","4621"
"23",1,"developed","Developed, Medium Intensity","#ED0000","4621"
"41",5,"forest","Deciduous Forest","#68AA63","4621"
"71",153,"herbaceous","Grassland/Herbaceous","#E2E2C1","4621"
"81",451,"planted","Pasture/Hay","#DBD83D","4621"
"82",1493,"planted","Cultivated Crops","#AA7028","4621"
"95",210,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","4621"
"code","n","class","description","color","llid"
"21",281,"developed","Developed, Open Space","#DDC9C9","5040"
"22",26,"developed","Developed, Low Intensity","#D89382","5040"
"31",4,"barren","Barren Land (Rock/Sand/Clay)","#B2ADA3","5040"
"41",12,"forest","Deciduous Forest","#68AA63","5040"
"43",160,"forest","Mixed Forest","#B5C98E","5040"
"52",9,"shrubland","Scrub/Shrub","#CCBA7C","5040"
"71",588,"herbaceous","Grassland/Herbaceous","#E2E2C1","5040"
"82",8136,"planted","Cultivated Crops","#AA7028","5040"
"90",20,"wetlands","Woody Wetlands","#BAD8EA","5040"
"95",620,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","5040"
"code","n","class","description","color","llid"
"21",318,"developed","Developed, Open Space","#DDC9C9","4631"
"22",22,"developed","Developed, Low Intensity","#D89382","4631"
"41",18,"forest","Deciduous Forest","#68AA63","4631"
"71",847,"herbaceous","Grassland/Herbaceous","#E2E2C1","4631"
"81",996,"planted","Pasture/Hay","#DBD83D","4631"
"82",5338,"planted","Cultivated Crops","#AA7028","4631"
"90",9,"wetlands","Woody Wetlands","#BAD8EA","4631"
"95",1109,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","4631"
"code","n","class","description","color","llid"
"21",106,"developed","Developed, Open Space","#DDC9C9","5256"
"22",6,"developed","Developed, Low Intensity","#D89382","5256"
"41",12,"forest","Deciduous Forest","#68AA63","5256"
"43",1,"forest","Mixed Forest","#B5C98E","5256"
"71",199,"herbaceous","Grassland/Herbaceous","#E2E2C1","5256"
"82",2029,"planted","Cultivated Crops","#AA7028","5256"
"95",66,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","5256"
"code","n","class","description","color","llid"
"21",3,"developed","Developed, Open Space","#DDC9C9","96236"
"22",3,"developed","Developed, Low Intensity","#D89382","96236"
"81",303,"planted","Pasture/Hay","#DBD83D","96236"
"82",35,"planted","Cultivated Crops","#AA7028","96236"
"90",1,"wetlands","Woody Wetlands","#BAD8EA","96236"
"95",9,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","96236"
"code","n","class","description","color","llid"
"21",1135,"developed","Developed, Open Space","#DDC9C9","4686"
"22",228,"developed","Developed, Low Intensity","#D89382","4686"
"23",56,"developed","Developed, Medium Intensity","#ED0000","4686"
"31",4,"barren","Barren Land (Rock/Sand/Clay)","#B2ADA3","4686"
"41",44,"forest","Deciduous Forest","#68AA63","4686"
"42",10,"forest","Evergreen Forest","#1C6330","4686"
"43",553,"forest","Mixed Forest","#B5C98E","4686"
"52",61,"shrubland","Scrub/Shrub","#CCBA7C","4686"
"71",3706,"herbaceous","Grassland/Herbaceous","#E2E2C1","4686"
"81",470,"planted","Pasture/Hay","#DBD83D","4686"
"82",12290,"planted","Cultivated Crops","#AA7028","4686"
"90",81,"wetlands","Woody Wetlands","#BAD8EA","4686"
"95",2002,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","4686"
"code","n","class","description","color","llid"
"21",281,"developed","Developed, Open Space","#DDC9C9","5583"
"22",26,"developed","Developed, Low Intensity","#D89382","5583"
"31",4,"barren","Barren Land (Rock/Sand/Clay)","#B2ADA3","5583"
"41",12,"forest","Deciduous Forest","#68AA63","5583"
"43",160,"forest","Mixed Forest","#B5C98E","5583"
"52",9,"shrubland","Scrub/Shrub","#CCBA7C","5583"
"71",588,"herbaceous","Grassland/Herbaceous","#E2E2C1","5583"
"82",8136,"planted","Cultivated Crops","#AA7028","5583"
"90",20,"wetlands","Woody Wetlands","#BAD8EA","5583"
"95",620,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","5583"
"code","n","class","description","color","llid"
"21",191,"developed","Developed, Open Space","#DDC9C9","4870"
"22",13,"developed","Developed, Low Intensity","#D89382","4870"
"43",5,"forest","Mixed Forest","#B5C98E","4870"
"52",7,"shrubland","Scrub/Shrub","#CCBA7C","4870"
"71",446,"herbaceous","Grassland/Herbaceous","#E2E2C1","4870"
"81",117,"planted","Pasture/Hay","#DBD83D","4870"
"82",4355,"planted","Cultivated Crops","#AA7028","4870"
"90",3,"wetlands","Woody Wetlands","#BAD8EA","4870"
"95",365,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","4870"
"code","n","class","description","color","llid"
NA,NA,NA,NA,NA,"73287"
"code","n","class","description","color","llid"
"21",32245,"developed","Developed, Open Space","#DDC9C9","6058"
"22",7390,"developed","Developed, Low Intensity","#D89382","6058"
"23",1125,"developed","Developed, Medium Intensity","#ED0000","6058"
"24",285,"developed","Developed, High Intensity","#AA0000","6058"
"31",878,"barren","Barren Land (Rock/Sand/Clay)","#B2ADA3","6058"
"41",338368,"forest","Deciduous Forest","#68AA63","6058"
"42",367,"forest","Evergreen Forest","#1C6330","6058"
"43",2361,"forest","Mixed Forest","#B5C98E","6058"
"52",9111,"shrubland","Scrub/Shrub","#CCBA7C","6058"
"71",16002,"herbaceous","Grassland/Herbaceous","#E2E2C1","6058"
"81",335890,"planted","Pasture/Hay","#DBD83D","6058"
"82",285677,"planted","Cultivated Crops","#AA7028","6058"
"90",109540,"wetlands","Woody Wetlands","#BAD8EA","6058"
"95",8477,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","6058"
"code","n","class","description","color","llid"
"21",67,"developed","Developed, Open Space","#DDC9C9","6182"
"22",17,"developed","Developed, Low Intensity","#D89382","6182"
"23",1,"developed","Developed, Medium Intensity","#ED0000","6182"
"31",7,"barren","Barren Land (Rock/Sand/Clay)","#B2ADA3","6182"
"41",1081,"forest","Deciduous Forest","#68AA63","6182"
"43",5,"forest","Mixed Forest","#B5C98E","6182"
"71",3,"herbaceous","Grassland/Herbaceous","#E2E2C1","6182"
"81",394,"planted","Pasture/Hay","#DBD83D","6182"
"82",467,"planted","Cultivated Crops","#AA7028","6182"
"90",167,"wetlands","Woody Wetlands","#BAD8EA","6182"
"95",6,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","6182"
"code","n","class","description","color","llid"
"21",25,"developed","Developed, Open Space","#DDC9C9","82731"
"22",4,"developed","Developed, Low Intensity","#D89382","82731"
"41",41,"forest","Deciduous Forest","#68AA63","82731"
"52",7,"shrubland","Scrub/Shrub","#CCBA7C","82731"
"71",8,"herbaceous","Grassland/Herbaceous","#E2E2C1","82731"
"81",314,"planted","Pasture/Hay","#DBD83D","82731"
"82",143,"planted","Cultivated Crops","#AA7028","82731"
"90",21,"wetlands","Woody Wetlands","#BAD8EA","82731"
"code","n","class","description","color","llid"
"21",5,"developed","Developed, Open Space","#DDC9C9","107503"
"22",11,"developed","Developed, Low Intensity","#D89382","107503"
"41",44,"forest","Deciduous Forest","#68AA63","107503"
"71",2,"herbaceous","Grassland/Herbaceous","#E2E2C1","107503"
"81",316,"planted","Pasture/Hay","#DBD83D","107503"
"82",35,"planted","Cultivated Crops","#AA7028","107503"
"90",148,"wetlands","Woody Wetlands","#BAD8EA","107503"
"95",9,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","107503"
"code","n","class","description","color","llid"
"21",6,"developed","Developed, Open Space","#DDC9C9","86932"
