"21",6210,"developed","Developed, Open Space","#DDC9C9","3007"
"22",890,"developed","Developed, Low Intensity","#D89382","3007"
"23",132,"developed","Developed, Medium Intensity","#ED0000","3007"
"24",30,"developed","Developed, High Intensity","#AA0000","3007"
"31",22,"barren","Barren Land (Rock/Sand/Clay)","#B2ADA3","3007"
"41",40607,"forest","Deciduous Forest","#68AA63","3007"
"42",164,"forest","Evergreen Forest","#1C6330","3007"
"43",8,"forest","Mixed Forest","#B5C98E","3007"
"52",274,"shrubland","Scrub/Shrub","#CCBA7C","3007"
"71",425,"herbaceous","Grassland/Herbaceous","#E2E2C1","3007"
"81",10637,"planted","Pasture/Hay","#DBD83D","3007"
"82",32771,"planted","Cultivated Crops","#AA7028","3007"
"90",1378,"wetlands","Woody Wetlands","#BAD8EA","3007"
"95",1,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","3007"
"code","n","class","description","color","llid"
"21",2254,"developed","Developed, Open Space","#DDC9C9","2226"
"22",671,"developed","Developed, Low Intensity","#D89382","2226"
"23",106,"developed","Developed, Medium Intensity","#ED0000","2226"
"24",13,"developed","Developed, High Intensity","#AA0000","2226"
"41",20083,"forest","Deciduous Forest","#68AA63","2226"
"42",123,"forest","Evergreen Forest","#1C6330","2226"
"52",206,"shrubland","Scrub/Shrub","#CCBA7C","2226"
"71",142,"herbaceous","Grassland/Herbaceous","#E2E2C1","2226"
"81",3890,"planted","Pasture/Hay","#DBD83D","2226"
"82",21735,"planted","Cultivated Crops","#AA7028","2226"
"90",580,"wetlands","Woody Wetlands","#BAD8EA","2226"
"95",6,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","2226"
"code","n","class","description","color","llid"
"21",487,"developed","Developed, Open Space","#DDC9C9","1637"
"22",148,"developed","Developed, Low Intensity","#D89382","1637"
"23",14,"developed","Developed, Medium Intensity","#ED0000","1637"
"24",2,"developed","Developed, High Intensity","#AA0000","1637"
"41",5018,"forest","Deciduous Forest","#68AA63","1637"
"42",79,"forest","Evergreen Forest","#1C6330","1637"
"43",28,"forest","Mixed Forest","#B5C98E","1637"
"52",31,"shrubland","Scrub/Shrub","#CCBA7C","1637"
"71",128,"herbaceous","Grassland/Herbaceous","#E2E2C1","1637"
"81",1316,"planted","Pasture/Hay","#DBD83D","1637"
"82",4499,"planted","Cultivated Crops","#AA7028","1637"
"code","n","class","description","color","llid"
NA,NA,NA,NA,NA,"6874"
"code","n","class","description","color","llid"
"21",606,"developed","Developed, Open Space","#DDC9C9","7032"
"22",78,"developed","Developed, Low Intensity","#D89382","7032"
"23",20,"developed","Developed, Medium Intensity","#ED0000","7032"
"24",1,"developed","Developed, High Intensity","#AA0000","7032"
"31",23,"barren","Barren Land (Rock/Sand/Clay)","#B2ADA3","7032"
"41",2443,"forest","Deciduous Forest","#68AA63","7032"
"71",44,"herbaceous","Grassland/Herbaceous","#E2E2C1","7032"
"81",1069,"planted","Pasture/Hay","#DBD83D","7032"
"82",5836,"planted","Cultivated Crops","#AA7028","7032"
"code","n","class","description","color","llid"
NA,NA,NA,NA,NA,"1935"
"code","n","class","description","color","llid"
"21",317,"developed","Developed, Open Space","#DDC9C9","6970"
"22",38,"developed","Developed, Low Intensity","#D89382","6970"
"23",1,"developed","Developed, Medium Intensity","#ED0000","6970"
"41",4059,"forest","Deciduous Forest","#68AA63","6970"
"71",39,"herbaceous","Grassland/Herbaceous","#E2E2C1","6970"
"81",1696,"planted","Pasture/Hay","#DBD83D","6970"
"82",2110,"planted","Cultivated Crops","#AA7028","6970"
"95",2,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","6970"
"code","n","class","description","color","llid"
"21",2464,"developed","Developed, Open Space","#DDC9C9","3452"
"22",1212,"developed","Developed, Low Intensity","#D89382","3452"
"23",452,"developed","Developed, Medium Intensity","#ED0000","3452"
"24",159,"developed","Developed, High Intensity","#AA0000","3452"
"31",25,"barren","Barren Land (Rock/Sand/Clay)","#B2ADA3","3452"
"41",1249,"forest","Deciduous Forest","#68AA63","3452"
"71",1101,"herbaceous","Grassland/Herbaceous","#E2E2C1","3452"
"81",3967,"planted","Pasture/Hay","#DBD83D","3452"
"82",28600,"planted","Cultivated Crops","#AA7028","3452"
"95",51,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","3452"
"code","n","class","description","color","llid"
"21",14,"developed","Developed, Open Space","#DDC9C9","4417"
"22",10,"developed","Developed, Low Intensity","#D89382","4417"
"41",183,"forest","Deciduous Forest","#68AA63","4417"
"52",6,"shrubland","Scrub/Shrub","#CCBA7C","4417"
"81",105,"planted","Pasture/Hay","#DBD83D","4417"
"82",684,"planted","Cultivated Crops","#AA7028","4417"
"90",75,"wetlands","Woody Wetlands","#BAD8EA","4417"
"code","n","class","description","color","llid"
NA,NA,NA,NA,NA,"5331"
"code","n","class","description","color","llid"
"21",416,"developed","Developed, Open Space","#DDC9C9","4284"
"22",92,"developed","Developed, Low Intensity","#D89382","4284"
"23",1,"developed","Developed, Medium Intensity","#ED0000","4284"
"31",10,"barren","Barren Land (Rock/Sand/Clay)","#B2ADA3","4284"
"41",1675,"forest","Deciduous Forest","#68AA63","4284"
"42",32,"forest","Evergreen Forest","#1C6330","4284"
"43",105,"forest","Mixed Forest","#B5C98E","4284"
"52",5,"shrubland","Scrub/Shrub","#CCBA7C","4284"
"71",16,"herbaceous","Grassland/Herbaceous","#E2E2C1","4284"
"81",1534,"planted","Pasture/Hay","#DBD83D","4284"
"82",7092,"planted","Cultivated Crops","#AA7028","4284"
"90",874,"wetlands","Woody Wetlands","#BAD8EA","4284"
"95",3355,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","4284"
"code","n","class","description","color","llid"
"21",36236,"developed","Developed, Open Space","#DDC9C9","2763"
"22",11796,"developed","Developed, Low Intensity","#D89382","2763"
"23",2587,"developed","Developed, Medium Intensity","#ED0000","2763"
"24",798,"developed","Developed, High Intensity","#AA0000","2763"
"31",155,"barren","Barren Land (Rock/Sand/Clay)","#B2ADA3","2763"
"41",203488,"forest","Deciduous Forest","#68AA63","2763"
"42",13889,"forest","Evergreen Forest","#1C6330","2763"
"43",27675,"forest","Mixed Forest","#B5C98E","2763"
"52",2485,"shrubland","Scrub/Shrub","#CCBA7C","2763"
"71",3722,"herbaceous","Grassland/Herbaceous","#E2E2C1","2763"
"81",59573,"planted","Pasture/Hay","#DBD83D","2763"
"82",255458,"planted","Cultivated Crops","#AA7028","2763"
"90",371278,"wetlands","Woody Wetlands","#BAD8EA","2763"
"95",80872,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","2763"
"code","n","class","description","color","llid"
NA,NA,NA,NA,NA,"5197"
"code","n","class","description","color","llid"
NA,NA,NA,NA,NA,"5195"
"code","n","class","description","color","llid"
NA,NA,NA,NA,NA,"5188"
"code","n","class","description","color","llid"
NA,NA,NA,NA,NA,"1190"
"code","n","class","description","color","llid"
NA,NA,NA,NA,NA,"5501"
"code","n","class","description","color","llid"
"21",2917,"developed","Developed, Open Space","#DDC9C9","4254"
"22",684,"developed","Developed, Low Intensity","#D89382","4254"
"23",206,"developed","Developed, Medium Intensity","#ED0000","4254"
"24",50,"developed","Developed, High Intensity","#AA0000","4254"
"31",10,"barren","Barren Land (Rock/Sand/Clay)","#B2ADA3","4254"
"41",16752,"forest","Deciduous Forest","#68AA63","4254"
"42",325,"forest","Evergreen Forest","#1C6330","4254"
"43",1933,"forest","Mixed Forest","#B5C98E","4254"
"52",143,"shrubland","Scrub/Shrub","#CCBA7C","4254"
"71",259,"herbaceous","Grassland/Herbaceous","#E2E2C1","4254"
"81",5005,"planted","Pasture/Hay","#DBD83D","4254"
"82",11421,"planted","Cultivated Crops","#AA7028","4254"
