"code","n","class","description","color","llid"
"23",34,"developed","Developed, Medium Intensity","#ED0000","4284"
"24",13,"developed","Developed, High Intensity","#AA0000","4284"
"41",127,"forest","Deciduous Forest","#68AA63","4284"
"43",14,"forest","Mixed Forest","#B5C98E","4284"
"81",28,"planted","Pasture/Hay","#DBD83D","4284"
"82",159,"planted","Cultivated Crops","#AA7028","4284"
"90",262,"wetlands","Woody Wetlands","#BAD8EA","4284"
"95",109,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","4284"
"code","n","class","description","color","llid"
"0",26223144,NA,NA,NA,"2763"
"21",106,"developed","Developed, Open Space","#DDC9C9","2763"
"22",327,"developed","Developed, Low Intensity","#D89382","2763"
"23",31,"developed","Developed, Medium Intensity","#ED0000","2763"
"41",5,"forest","Deciduous Forest","#68AA63","2763"
"42",4,"forest","Evergreen Forest","#1C6330","2763"
"43",20,"forest","Mixed Forest","#B5C98E","2763"
"81",34,"planted","Pasture/Hay","#DBD83D","2763"
"82",92,"planted","Cultivated Crops","#AA7028","2763"
"90",396,"wetlands","Woody Wetlands","#BAD8EA","2763"
"95",847,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","2763"
"code","n","class","description","color","llid"
"21",13,"developed","Developed, Open Space","#DDC9C9","5197"
"22",4,"developed","Developed, Low Intensity","#D89382","5197"
"23",4,"developed","Developed, Medium Intensity","#ED0000","5197"
"41",9,"forest","Deciduous Forest","#68AA63","5197"
"43",40,"forest","Mixed Forest","#B5C98E","5197"
"81",7,"planted","Pasture/Hay","#DBD83D","5197"
"90",100,"wetlands","Woody Wetlands","#BAD8EA","5197"
"code","n","class","description","color","llid"
"21",57,"developed","Developed, Open Space","#DDC9C9","5195"
"22",18,"developed","Developed, Low Intensity","#D89382","5195"
"41",149,"forest","Deciduous Forest","#68AA63","5195"
"42",22,"forest","Evergreen Forest","#1C6330","5195"
"43",2,"forest","Mixed Forest","#B5C98E","5195"
"52",1,"shrubland","Scrub/Shrub","#CCBA7C","5195"
"81",2,"planted","Pasture/Hay","#DBD83D","5195"
"82",173,"planted","Cultivated Crops","#AA7028","5195"
"90",16,"wetlands","Woody Wetlands","#BAD8EA","5195"
"95",26,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","5195"
"code","n","class","description","color","llid"
"21",271,"developed","Developed, Open Space","#DDC9C9","5188"
"22",144,"developed","Developed, Low Intensity","#D89382","5188"
"23",15,"developed","Developed, Medium Intensity","#ED0000","5188"
"41",50,"forest","Deciduous Forest","#68AA63","5188"
