"code","n","class","description","color","llid"
"24",4,"developed","Developed, High Intensity","#AA0000","7148"
"41",101,"forest","Deciduous Forest","#68AA63","7148"
"42",2,"forest","Evergreen Forest","#1C6330","7148"
"43",2,"forest","Mixed Forest","#B5C98E","7148"
"52",9,"shrubland","Scrub/Shrub","#CCBA7C","7148"
"71",25,"herbaceous","Grassland/Herbaceous","#E2E2C1","7148"
"81",62,"planted","Pasture/Hay","#DBD83D","7148"
"82",12,"planted","Cultivated Crops","#AA7028","7148"
"95",6,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","7148"
"code","n","class","description","color","llid"
"21",199,"developed","Developed, Open Space","#DDC9C9","1096"
"22",326,"developed","Developed, Low Intensity","#D89382","1096"
"23",79,"developed","Developed, Medium Intensity","#ED0000","1096"
"24",10,"developed","Developed, High Intensity","#AA0000","1096"
"41",148,"forest","Deciduous Forest","#68AA63","1096"
"42",8,"forest","Evergreen Forest","#1C6330","1096"
"43",12,"forest","Mixed Forest","#B5C98E","1096"
"71",31,"herbaceous","Grassland/Herbaceous","#E2E2C1","1096"
"82",69,"planted","Cultivated Crops","#AA7028","1096"
"90",1023,"wetlands","Woody Wetlands","#BAD8EA","1096"
"95",69,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","1096"
"code","n","class","description","color","llid"
"21",260,"developed","Developed, Open Space","#DDC9C9","6974"
"22",129,"developed","Developed, Low Intensity","#D89382","6974"
"23",15,"developed","Developed, Medium Intensity","#ED0000","6974"
"41",64,"forest","Deciduous Forest","#68AA63","6974"
"42",8,"forest","Evergreen Forest","#1C6330","6974"
"43",65,"forest","Mixed Forest","#B5C98E","6974"
"52",23,"shrubland","Scrub/Shrub","#CCBA7C","6974"
"71",27,"herbaceous","Grassland/Herbaceous","#E2E2C1","6974"
"81",401,"planted","Pasture/Hay","#DBD83D","6974"
"82",70,"planted","Cultivated Crops","#AA7028","6974"
"90",164,"wetlands","Woody Wetlands","#BAD8EA","6974"
"95",163,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","6974"
"code","n","class","description","color","llid"
"21",98,"developed","Developed, Open Space","#DDC9C9","6410"
"22",33,"developed","Developed, Low Intensity","#D89382","6410"
"23",8,"developed","Developed, Medium Intensity","#ED0000","6410"
"41",57,"forest","Deciduous Forest","#68AA63","6410"
"42",44,"forest","Evergreen Forest","#1C6330","6410"
"43",85,"forest","Mixed Forest","#B5C98E","6410"
"52",10,"shrubland","Scrub/Shrub","#CCBA7C","6410"
"71",3,"herbaceous","Grassland/Herbaceous","#E2E2C1","6410"
"81",126,"planted","Pasture/Hay","#DBD83D","6410"
"82",15,"planted","Cultivated Crops","#AA7028","6410"
"90",38,"wetlands","Woody Wetlands","#BAD8EA","6410"
"95",15,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","6410"
"code","n","class","description","color","llid"
"21",182,"developed","Developed, Open Space","#DDC9C9","70855"
"22",231,"developed","Developed, Low Intensity","#D89382","70855"
"23",52,"developed","Developed, Medium Intensity","#ED0000","70855"
"41",52,"forest","Deciduous Forest","#68AA63","70855"
"42",11,"forest","Evergreen Forest","#1C6330","70855"
"43",58,"forest","Mixed Forest","#B5C98E","70855"
"52",10,"shrubland","Scrub/Shrub","#CCBA7C","70855"
"71",25,"herbaceous","Grassland/Herbaceous","#E2E2C1","70855"
"81",36,"planted","Pasture/Hay","#DBD83D","70855"
"82",3,"planted","Cultivated Crops","#AA7028","70855"
"90",82,"wetlands","Woody Wetlands","#BAD8EA","70855"
"95",209,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","70855"
"code","n","class","description","color","llid"
"21",8,"developed","Developed, Open Space","#DDC9C9","44028"
"22",12,"developed","Developed, Low Intensity","#D89382","44028"
"41",72,"forest","Deciduous Forest","#68AA63","44028"
"43",11,"forest","Mixed Forest","#B5C98E","44028"
"81",64,"planted","Pasture/Hay","#DBD83D","44028"
"82",45,"planted","Cultivated Crops","#AA7028","44028"
"90",6,"wetlands","Woody Wetlands","#BAD8EA","44028"
"95",2,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","44028"
"code","n","class","description","color","llid"
"21",1072,"developed","Developed, Open Space","#DDC9C9","6968"
"22",301,"developed","Developed, Low Intensity","#D89382","6968"
"23",53,"developed","Developed, Medium Intensity","#ED0000","6968"
"24",6,"developed","Developed, High Intensity","#AA0000","6968"
"41",2674,"forest","Deciduous Forest","#68AA63","6968"
"81",46,"planted","Pasture/Hay","#DBD83D","6968"
"82",396,"planted","Cultivated Crops","#AA7028","6968"
"90",90,"wetlands","Woody Wetlands","#BAD8EA","6968"
"code","n","class","description","color","llid"
"21",87,"developed","Developed, Open Space","#DDC9C9","1808"
"22",166,"developed","Developed, Low Intensity","#D89382","1808"
"23",23,"developed","Developed, Medium Intensity","#ED0000","1808"
"41",89,"forest","Deciduous Forest","#68AA63","1808"
"42",29,"forest","Evergreen Forest","#1C6330","1808"
"43",15,"forest","Mixed Forest","#B5C98E","1808"
"71",19,"herbaceous","Grassland/Herbaceous","#E2E2C1","1808"
"81",2,"planted","Pasture/Hay","#DBD83D","1808"
"82",83,"planted","Cultivated Crops","#AA7028","1808"
"90",95,"wetlands","Woody Wetlands","#BAD8EA","1808"
"95",2,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","1808"
"code","n","class","description","color","llid"
"21",2145,"developed","Developed, Open Space","#DDC9C9","6490"
"22",1345,"developed","Developed, Low Intensity","#D89382","6490"
"23",329,"developed","Developed, Medium Intensity","#ED0000","6490"
"24",80,"developed","Developed, High Intensity","#AA0000","6490"
"31",34,"barren","Barren Land (Rock/Sand/Clay)","#B2ADA3","6490"
"41",2805,"forest","Deciduous Forest","#68AA63","6490"
"42",373,"forest","Evergreen Forest","#1C6330","6490"
"43",1865,"forest","Mixed Forest","#B5C98E","6490"
"52",1347,"shrubland","Scrub/Shrub","#CCBA7C","6490"
"71",95,"herbaceous","Grassland/Herbaceous","#E2E2C1","6490"
"81",1359,"planted","Pasture/Hay","#DBD83D","6490"
"82",251,"planted","Cultivated Crops","#AA7028","6490"
"90",191,"wetlands","Woody Wetlands","#BAD8EA","6490"
"95",237,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","6490"
"code","n","class","description","color","llid"
"21",860,"developed","Developed, Open Space","#DDC9C9","6846"
"22",383,"developed","Developed, Low Intensity","#D89382","6846"
"23",55,"developed","Developed, Medium Intensity","#ED0000","6846"
"24",24,"developed","Developed, High Intensity","#AA0000","6846"
"41",1741,"forest","Deciduous Forest","#68AA63","6846"
"42",186,"forest","Evergreen Forest","#1C6330","6846"
"43",360,"forest","Mixed Forest","#B5C98E","6846"
"52",1101,"shrubland","Scrub/Shrub","#CCBA7C","6846"
"71",31,"herbaceous","Grassland/Herbaceous","#E2E2C1","6846"
"81",631,"planted","Pasture/Hay","#DBD83D","6846"
"82",57,"planted","Cultivated Crops","#AA7028","6846"
"90",100,"wetlands","Woody Wetlands","#BAD8EA","6846"
"95",102,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","6846"
"code","n","class","description","color","llid"
"0",16785512,NA,NA,NA,"6844"
"21",1918,"developed","Developed, Open Space","#DDC9C9","6844"
"22",1359,"developed","Developed, Low Intensity","#D89382","6844"
"23",337,"developed","Developed, Medium Intensity","#ED0000","6844"
"24",87,"developed","Developed, High Intensity","#AA0000","6844"
"31",95,"barren","Barren Land (Rock/Sand/Clay)","#B2ADA3","6844"
"41",1874,"forest","Deciduous Forest","#68AA63","6844"
"42",165,"forest","Evergreen Forest","#1C6330","6844"
"43",1838,"forest","Mixed Forest","#B5C98E","6844"
"52",2854,"shrubland","Scrub/Shrub","#CCBA7C","6844"
"71",308,"herbaceous","Grassland/Herbaceous","#E2E2C1","6844"
"81",1699,"planted","Pasture/Hay","#DBD83D","6844"
"82",212,"planted","Cultivated Crops","#AA7028","6844"
"90",596,"wetlands","Woody Wetlands","#BAD8EA","6844"
"95",1163,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","6844"
"code","n","class","description","color","llid"
"21",224,"developed","Developed, Open Space","#DDC9C9","7009"
"22",161,"developed","Developed, Low Intensity","#D89382","7009"
"23",96,"developed","Developed, Medium Intensity","#ED0000","7009"
"24",63,"developed","Developed, High Intensity","#AA0000","7009"
"41",208,"forest","Deciduous Forest","#68AA63","7009"
"81",48,"planted","Pasture/Hay","#DBD83D","7009"
"82",32,"planted","Cultivated Crops","#AA7028","7009"
"90",76,"wetlands","Woody Wetlands","#BAD8EA","7009"
"95",3,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","7009"
"code","n","class","description","color","llid"
"41",9,"forest","Deciduous Forest","#68AA63","6492"
"42",11,"forest","Evergreen Forest","#1C6330","6492"
"43",28,"forest","Mixed Forest","#B5C98E","6492"
"52",15,"shrubland","Scrub/Shrub","#CCBA7C","6492"
"81",88,"planted","Pasture/Hay","#DBD83D","6492"
"82",51,"planted","Cultivated Crops","#AA7028","6492"
"90",428,"wetlands","Woody Wetlands","#BAD8EA","6492"
"95",41,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","6492"
"code","n","class","description","color","llid"
"21",53,"developed","Developed, Open Space","#DDC9C9","6988"
"22",28,"developed","Developed, Low Intensity","#D89382","6988"
"23",3,"developed","Developed, Medium Intensity","#ED0000","6988"
"41",196,"forest","Deciduous Forest","#68AA63","6988"
"71",6,"herbaceous","Grassland/Herbaceous","#E2E2C1","6988"
"82",19,"planted","Cultivated Crops","#AA7028","6988"
"code","n","class","description","color","llid"
"21",1813,"developed","Developed, Open Space","#DDC9C9","6966"
"22",1806,"developed","Developed, Low Intensity","#D89382","6966"
"23",554,"developed","Developed, Medium Intensity","#ED0000","6966"
"24",190,"developed","Developed, High Intensity","#AA0000","6966"
"41",3723,"forest","Deciduous Forest","#68AA63","6966"
"71",49,"herbaceous","Grassland/Herbaceous","#E2E2C1","6966"
"82",14,"planted","Cultivated Crops","#AA7028","6966"
"90",300,"wetlands","Woody Wetlands","#BAD8EA","6966"
"code","n","class","description","color","llid"
"41",11,"forest","Deciduous Forest","#68AA63","6990"
"82",63,"planted","Cultivated Crops","#AA7028","6990"
"code","n","class","description","color","llid"
"21",138,"developed","Developed, Open Space","#DDC9C9","7036"
"22",140,"developed","Developed, Low Intensity","#D89382","7036"
"23",16,"developed","Developed, Medium Intensity","#ED0000","7036"
"41",6,"forest","Deciduous Forest","#68AA63","7036"
"71",2,"herbaceous","Grassland/Herbaceous","#E2E2C1","7036"
"code","n","class","description","color","llid"
"21",168,"developed","Developed, Open Space","#DDC9C9","1815"
"22",136,"developed","Developed, Low Intensity","#D89382","1815"
"23",2,"developed","Developed, Medium Intensity","#ED0000","1815"
"41",161,"forest","Deciduous Forest","#68AA63","1815"
"42",7,"forest","Evergreen Forest","#1C6330","1815"
"43",9,"forest","Mixed Forest","#B5C98E","1815"
"90",51,"wetlands","Woody Wetlands","#BAD8EA","1815"
"95",14,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","1815"
"code","n","class","description","color","llid"
"21",172,"developed","Developed, Open Space","#DDC9C9","2417"
"22",211,"developed","Developed, Low Intensity","#D89382","2417"
"23",28,"developed","Developed, Medium Intensity","#ED0000","2417"
"41",222,"forest","Deciduous Forest","#68AA63","2417"
"43",13,"forest","Mixed Forest","#B5C98E","2417"
"71",19,"herbaceous","Grassland/Herbaceous","#E2E2C1","2417"
"81",45,"planted","Pasture/Hay","#DBD83D","2417"
"82",72,"planted","Cultivated Crops","#AA7028","2417"
"90",430,"wetlands","Woody Wetlands","#BAD8EA","2417"
"95",94,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","2417"
"code","n","class","description","color","llid"
"21",301,"developed","Developed, Open Space","#DDC9C9","2335"
"22",217,"developed","Developed, Low Intensity","#D89382","2335"
"23",31,"developed","Developed, Medium Intensity","#ED0000","2335"
"24",3,"developed","Developed, High Intensity","#AA0000","2335"
"41",230,"forest","Deciduous Forest","#68AA63","2335"
"43",11,"forest","Mixed Forest","#B5C98E","2335"
"71",18,"herbaceous","Grassland/Herbaceous","#E2E2C1","2335"
"82",25,"planted","Cultivated Crops","#AA7028","2335"
"90",59,"wetlands","Woody Wetlands","#BAD8EA","2335"
"95",43,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","2335"
"code","n","class","description","color","llid"
"21",164,"developed","Developed, Open Space","#DDC9C9","2784"
"22",45,"developed","Developed, Low Intensity","#D89382","2784"
"23",38,"developed","Developed, Medium Intensity","#ED0000","2784"
"24",28,"developed","Developed, High Intensity","#AA0000","2784"
"31",87,"barren","Barren Land (Rock/Sand/Clay)","#B2ADA3","2784"
"41",3130,"forest","Deciduous Forest","#68AA63","2784"
"52",75,"shrubland","Scrub/Shrub","#CCBA7C","2784"
"71",625,"herbaceous","Grassland/Herbaceous","#E2E2C1","2784"
"81",114,"planted","Pasture/Hay","#DBD83D","2784"
"82",7,"planted","Cultivated Crops","#AA7028","2784"
"95",37,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","2784"
"code","n","class","description","color","llid"
"21",145,"developed","Developed, Open Space","#DDC9C9","929"
"22",70,"developed","Developed, Low Intensity","#D89382","929"
"23",58,"developed","Developed, Medium Intensity","#ED0000","929"
"24",35,"developed","Developed, High Intensity","#AA0000","929"
"31",8,"barren","Barren Land (Rock/Sand/Clay)","#B2ADA3","929"
"41",1037,"forest","Deciduous Forest","#68AA63","929"
"81",635,"planted","Pasture/Hay","#DBD83D","929"
"82",24,"planted","Cultivated Crops","#AA7028","929"
"95",16,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","929"
"code","n","class","description","color","llid"
"21",22,"developed","Developed, Open Space","#DDC9C9","1821"
"22",16,"developed","Developed, Low Intensity","#D89382","1821"
"23",28,"developed","Developed, Medium Intensity","#ED0000","1821"
"24",5,"developed","Developed, High Intensity","#AA0000","1821"
"31",142,"barren","Barren Land (Rock/Sand/Clay)","#B2ADA3","1821"
"41",4676,"forest","Deciduous Forest","#68AA63","1821"
"42",36,"forest","Evergreen Forest","#1C6330","1821"
"43",17,"forest","Mixed Forest","#B5C98E","1821"
"52",18,"shrubland","Scrub/Shrub","#CCBA7C","1821"
"71",99,"herbaceous","Grassland/Herbaceous","#E2E2C1","1821"
"81",129,"planted","Pasture/Hay","#DBD83D","1821"
"82",51,"planted","Cultivated Crops","#AA7028","1821"
"code","n","class","description","color","llid"
"21",54,"developed","Developed, Open Space","#DDC9C9","4510"
"22",6,"developed","Developed, Low Intensity","#D89382","4510"
"41",419,"forest","Deciduous Forest","#68AA63","4510"
"42",1,"forest","Evergreen Forest","#1C6330","4510"
"71",17,"herbaceous","Grassland/Herbaceous","#E2E2C1","4510"
"82",56,"planted","Cultivated Crops","#AA7028","4510"
"95",6,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","4510"
"code","n","class","description","color","llid"
"21",81,"developed","Developed, Open Space","#DDC9C9","4607"
"22",10,"developed","Developed, Low Intensity","#D89382","4607"
"23",4,"developed","Developed, Medium Intensity","#ED0000","4607"
"41",192,"forest","Deciduous Forest","#68AA63","4607"
"71",65,"herbaceous","Grassland/Herbaceous","#E2E2C1","4607"
"82",69,"planted","Cultivated Crops","#AA7028","4607"
"90",1,"wetlands","Woody Wetlands","#BAD8EA","4607"
"95",8,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","4607"
"code","n","class","description","color","llid"
"21",67,"developed","Developed, Open Space","#DDC9C9","5032"
"22",25,"developed","Developed, Low Intensity","#D89382","5032"
"23",18,"developed","Developed, Medium Intensity","#ED0000","5032"
"24",5,"developed","Developed, High Intensity","#AA0000","5032"
"31",3,"barren","Barren Land (Rock/Sand/Clay)","#B2ADA3","5032"
"41",1337,"forest","Deciduous Forest","#68AA63","5032"
"42",6,"forest","Evergreen Forest","#1C6330","5032"
"71",450,"herbaceous","Grassland/Herbaceous","#E2E2C1","5032"
"81",129,"planted","Pasture/Hay","#DBD83D","5032"
"82",118,"planted","Cultivated Crops","#AA7028","5032"
"90",7,"wetlands","Woody Wetlands","#BAD8EA","5032"
"95",37,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","5032"
"code","n","class","description","color","llid"
"21",395,"developed","Developed, Open Space","#DDC9C9","2031"
"22",186,"developed","Developed, Low Intensity","#D89382","2031"
"23",109,"developed","Developed, Medium Intensity","#ED0000","2031"
"24",24,"developed","Developed, High Intensity","#AA0000","2031"
"41",1384,"forest","Deciduous Forest","#68AA63","2031"
"42",11,"forest","Evergreen Forest","#1C6330","2031"
"52",18,"shrubland","Scrub/Shrub","#CCBA7C","2031"
"71",132,"herbaceous","Grassland/Herbaceous","#E2E2C1","2031"
"81",107,"planted","Pasture/Hay","#DBD83D","2031"
"82",70,"planted","Cultivated Crops","#AA7028","2031"
"90",1483,"wetlands","Woody Wetlands","#BAD8EA","2031"
"95",25,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","2031"
"code","n","class","description","color","llid"
"21",525,"developed","Developed, Open Space","#DDC9C9","6810"
"22",251,"developed","Developed, Low Intensity","#D89382","6810"
"23",123,"developed","Developed, Medium Intensity","#ED0000","6810"
"24",49,"developed","Developed, High Intensity","#AA0000","6810"
"31",5,"barren","Barren Land (Rock/Sand/Clay)","#B2ADA3","6810"
"41",996,"forest","Deciduous Forest","#68AA63","6810"
"42",131,"forest","Evergreen Forest","#1C6330","6810"
"43",283,"forest","Mixed Forest","#B5C98E","6810"
"52",151,"shrubland","Scrub/Shrub","#CCBA7C","6810"
"71",5,"herbaceous","Grassland/Herbaceous","#E2E2C1","6810"
"81",417,"planted","Pasture/Hay","#DBD83D","6810"
"90",140,"wetlands","Woody Wetlands","#BAD8EA","6810"
"95",459,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","6810"
"code","n","class","description","color","llid"
"21",42,"developed","Developed, Open Space","#DDC9C9","7041"
"22",15,"developed","Developed, Low Intensity","#D89382","7041"
"23",5,"developed","Developed, Medium Intensity","#ED0000","7041"
"41",174,"forest","Deciduous Forest","#68AA63","7041"
"81",86,"planted","Pasture/Hay","#DBD83D","7041"
"82",113,"planted","Cultivated Crops","#AA7028","7041"
"code","n","class","description","color","llid"
"21",68,"developed","Developed, Open Space","#DDC9C9","6995"
"22",28,"developed","Developed, Low Intensity","#D89382","6995"
"23",4,"developed","Developed, Medium Intensity","#ED0000","6995"
"41",1224,"forest","Deciduous Forest","#68AA63","6995"
"81",6,"planted","Pasture/Hay","#DBD83D","6995"
"82",11,"planted","Cultivated Crops","#AA7028","6995"
"90",8,"wetlands","Woody Wetlands","#BAD8EA","6995"
"code","n","class","description","color","llid"
"21",23,"developed","Developed, Open Space","#DDC9C9","6991"
"22",10,"developed","Developed, Low Intensity","#D89382","6991"
"23",2,"developed","Developed, Medium Intensity","#ED0000","6991"
"41",1235,"forest","Deciduous Forest","#68AA63","6991"
"81",36,"planted","Pasture/Hay","#DBD83D","6991"
"82",2,"planted","Cultivated Crops","#AA7028","6991"
"90",1,"wetlands","Woody Wetlands","#BAD8EA","6991"
"code","n","class","description","color","llid"
"21",13,"developed","Developed, Open Space","#DDC9C9","6993"
"22",46,"developed","Developed, Low Intensity","#D89382","6993"
"23",8,"developed","Developed, Medium Intensity","#ED0000","6993"
"41",275,"forest","Deciduous Forest","#68AA63","6993"
"81",50,"planted","Pasture/Hay","#DBD83D","6993"
"82",16,"planted","Cultivated Crops","#AA7028","6993"
"code","n","class","description","color","llid"
"21",593,"developed","Developed, Open Space","#DDC9C9","7037"
"22",558,"developed","Developed, Low Intensity","#D89382","7037"
"23",71,"developed","Developed, Medium Intensity","#ED0000","7037"
"24",10,"developed","Developed, High Intensity","#AA0000","7037"
"41",1292,"forest","Deciduous Forest","#68AA63","7037"
"71",70,"herbaceous","Grassland/Herbaceous","#E2E2C1","7037"
"81",153,"planted","Pasture/Hay","#DBD83D","7037"
"82",249,"planted","Cultivated Crops","#AA7028","7037"
"90",8,"wetlands","Woody Wetlands","#BAD8EA","7037"
"code","n","class","description","color","llid"
"21",76,"developed","Developed, Open Space","#DDC9C9","6464"
"22",36,"developed","Developed, Low Intensity","#D89382","6464"
"23",12,"developed","Developed, Medium Intensity","#ED0000","6464"
"24",4,"developed","Developed, High Intensity","#AA0000","6464"
"41",1388,"forest","Deciduous Forest","#68AA63","6464"
"71",4,"herbaceous","Grassland/Herbaceous","#E2E2C1","6464"
"81",167,"planted","Pasture/Hay","#DBD83D","6464"
"82",65,"planted","Cultivated Crops","#AA7028","6464"
"code","n","class","description","color","llid"
"21",73,"developed","Developed, Open Space","#DDC9C9","6994"
"22",25,"developed","Developed, Low Intensity","#D89382","6994"
"23",6,"developed","Developed, Medium Intensity","#ED0000","6994"
"24",1,"developed","Developed, High Intensity","#AA0000","6994"
"41",675,"forest","Deciduous Forest","#68AA63","6994"
"81",5,"planted","Pasture/Hay","#DBD83D","6994"
"code","n","class","description","color","llid"
"21",83,"developed","Developed, Open Space","#DDC9C9","6997"
"22",263,"developed","Developed, Low Intensity","#D89382","6997"
"23",108,"developed","Developed, Medium Intensity","#ED0000","6997"
"24",5,"developed","Developed, High Intensity","#AA0000","6997"
"41",882,"forest","Deciduous Forest","#68AA63","6997"
"71",1,"herbaceous","Grassland/Herbaceous","#E2E2C1","6997"
"82",623,"planted","Cultivated Crops","#AA7028","6997"
"90",486,"wetlands","Woody Wetlands","#BAD8EA","6997"
"95",150,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","6997"
"code","n","class","description","color","llid"
"21",16,"developed","Developed, Open Space","#DDC9C9","6999"
"22",1,"developed","Developed, Low Intensity","#D89382","6999"
"41",207,"forest","Deciduous Forest","#68AA63","6999"
"81",15,"planted","Pasture/Hay","#DBD83D","6999"
"code","n","class","description","color","llid"
"21",794,"developed","Developed, Open Space","#DDC9C9","7447"
"22",104,"developed","Developed, Low Intensity","#D89382","7447"
"23",4,"developed","Developed, Medium Intensity","#ED0000","7447"
"41",1052,"forest","Deciduous Forest","#68AA63","7447"
"42",8,"forest","Evergreen Forest","#1C6330","7447"
"81",350,"planted","Pasture/Hay","#DBD83D","7447"
"82",3328,"planted","Cultivated Crops","#AA7028","7447"
"90",1433,"wetlands","Woody Wetlands","#BAD8EA","7447"
"95",102,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","7447"
"code","n","class","description","color","llid"
"21",723,"developed","Developed, Open Space","#DDC9C9","7396"
"22",277,"developed","Developed, Low Intensity","#D89382","7396"
"23",107,"developed","Developed, Medium Intensity","#ED0000","7396"
"24",2,"developed","Developed, High Intensity","#AA0000","7396"
"41",8646,"forest","Deciduous Forest","#68AA63","7396"
"42",1435,"forest","Evergreen Forest","#1C6330","7396"
"43",38,"forest","Mixed Forest","#B5C98E","7396"
"71",129,"herbaceous","Grassland/Herbaceous","#E2E2C1","7396"
"81",653,"planted","Pasture/Hay","#DBD83D","7396"
"82",170,"planted","Cultivated Crops","#AA7028","7396"
"90",541,"wetlands","Woody Wetlands","#BAD8EA","7396"
"95",168,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","7396"
"code","n","class","description","color","llid"
"21",24,"developed","Developed, Open Space","#DDC9C9","7455"
"22",7,"developed","Developed, Low Intensity","#D89382","7455"
"23",2,"developed","Developed, Medium Intensity","#ED0000","7455"
"41",355,"forest","Deciduous Forest","#68AA63","7455"
"71",4,"herbaceous","Grassland/Herbaceous","#E2E2C1","7455"
"82",73,"planted","Cultivated Crops","#AA7028","7455"
"code","n","class","description","color","llid"
"21",99,"developed","Developed, Open Space","#DDC9C9","7449"
"22",55,"developed","Developed, Low Intensity","#D89382","7449"
"23",9,"developed","Developed, Medium Intensity","#ED0000","7449"
"41",1896,"forest","Deciduous Forest","#68AA63","7449"
"42",5,"forest","Evergreen Forest","#1C6330","7449"
"81",68,"planted","Pasture/Hay","#DBD83D","7449"
"82",23,"planted","Cultivated Crops","#AA7028","7449"
"code","n","class","description","color","llid"
"21",4,"developed","Developed, Open Space","#DDC9C9","6395"
"22",3,"developed","Developed, Low Intensity","#D89382","6395"
"41",500,"forest","Deciduous Forest","#68AA63","6395"
"71",3,"herbaceous","Grassland/Herbaceous","#E2E2C1","6395"
"82",47,"planted","Cultivated Crops","#AA7028","6395"
"95",4,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","6395"
"code","n","class","description","color","llid"
"21",171,"developed","Developed, Open Space","#DDC9C9","1433"
"22",172,"developed","Developed, Low Intensity","#D89382","1433"
"23",18,"developed","Developed, Medium Intensity","#ED0000","1433"
"31",7,"barren","Barren Land (Rock/Sand/Clay)","#B2ADA3","1433"
"41",316,"forest","Deciduous Forest","#68AA63","1433"
"43",29,"forest","Mixed Forest","#B5C98E","1433"
"71",63,"herbaceous","Grassland/Herbaceous","#E2E2C1","1433"
"81",5,"planted","Pasture/Hay","#DBD83D","1433"
"82",63,"planted","Cultivated Crops","#AA7028","1433"
"90",230,"wetlands","Woody Wetlands","#BAD8EA","1433"
"95",91,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","1433"
"code","n","class","description","color","llid"
"21",140,"developed","Developed, Open Space","#DDC9C9","7401"
"22",55,"developed","Developed, Low Intensity","#D89382","7401"
"23",3,"developed","Developed, Medium Intensity","#ED0000","7401"
"41",92,"forest","Deciduous Forest","#68AA63","7401"
"71",6,"herbaceous","Grassland/Herbaceous","#E2E2C1","7401"
"81",7,"planted","Pasture/Hay","#DBD83D","7401"
"90",1,"wetlands","Woody Wetlands","#BAD8EA","7401"
"code","n","class","description","color","llid"
"21",22,"developed","Developed, Open Space","#DDC9C9","7016"
"22",36,"developed","Developed, Low Intensity","#D89382","7016"
"23",3,"developed","Developed, Medium Intensity","#ED0000","7016"
"41",121,"forest","Deciduous Forest","#68AA63","7016"
"42",2,"forest","Evergreen Forest","#1C6330","7016"
"71",7,"herbaceous","Grassland/Herbaceous","#E2E2C1","7016"
"81",54,"planted","Pasture/Hay","#DBD83D","7016"
"code","n","class","description","color","llid"
"21",197,"developed","Developed, Open Space","#DDC9C9","6462"
"22",128,"developed","Developed, Low Intensity","#D89382","6462"
"23",49,"developed","Developed, Medium Intensity","#ED0000","6462"
"24",1,"developed","Developed, High Intensity","#AA0000","6462"
"41",2191,"forest","Deciduous Forest","#68AA63","6462"
"81",220,"planted","Pasture/Hay","#DBD83D","6462"
"82",26,"planted","Cultivated Crops","#AA7028","6462"
"code","n","class","description","color","llid"
"21",9,"developed","Developed, Open Space","#DDC9C9","7117"
"22",6,"developed","Developed, Low Intensity","#D89382","7117"
"23",1,"developed","Developed, Medium Intensity","#ED0000","7117"
"41",608,"forest","Deciduous Forest","#68AA63","7117"
"42",92,"forest","Evergreen Forest","#1C6330","7117"
"81",58,"planted","Pasture/Hay","#DBD83D","7117"
"82",17,"planted","Cultivated Crops","#AA7028","7117"
"code","n","class","description","color","llid"
"21",7,"developed","Developed, Open Space","#DDC9C9","7397"
"22",5,"developed","Developed, Low Intensity","#D89382","7397"
"23",2,"developed","Developed, Medium Intensity","#ED0000","7397"
"41",140,"forest","Deciduous Forest","#68AA63","7397"
"71",6,"herbaceous","Grassland/Herbaceous","#E2E2C1","7397"
"81",138,"planted","Pasture/Hay","#DBD83D","7397"
"82",141,"planted","Cultivated Crops","#AA7028","7397"
"95",11,"wetlands","Emergent Herbaceous Wetlands","#70A3BA","7397"
"code","n","class","description","color","llid"
"21",270,"developed","Developed, Open Space","#DDC9C9","3152"
"22",523,"developed","Developed, Low Intensity","#D89382","3152"
"23",111,"developed","Developed, Medium Intensity","#ED0000","3152"
"24",2,"developed","Developed, High Intensity","#AA0000","3152"
"31",18,"barren","Barren Land (Rock/Sand/Clay)","#B2ADA3","3152"
"41",203,"forest","Deciduous Forest","#68AA63","3152"
"42",7,"forest","Evergreen Forest","#1C6330","3152"
"43",18,"forest","Mixed Forest","#B5C98E","3152"
