"code","n","class","description","color","llid","total_n","lake_buffer_area","stream_buffer_area","stream_length","total_area","percent_lake","percent_stream"
"24",35,"developed","Developed, High Intensity","#AA0000",2226,8229,8014315.11230937,58167405.7517796,272021.350609559,8229000,0.425325069874833,0.0260997008572748
"31",19,"barren","Barren Land (Rock/Sand/Clay)","#B2ADA3",2226,8229,8014315.11230937,58167405.7517796,272021.350609559,8229000,0.230890752217766,NA
"41",6878,"forest","Deciduous Forest","#68AA63",2226,8229,8014315.11230937,58167405.7517796,272021.350609559,8229000,83.5824523028314,40.3200224858961
"42",35,"forest","Evergreen Forest","#1C6330",2226,8229,8014315.11230937,58167405.7517796,272021.350609559,8229000,0.425325069874833,0.246943323495754
"43",49,"forest","Mixed Forest","#B5C98E",2226,8229,8014315.11230937,58167405.7517796,272021.350609559,8229000,0.595455097824766,NA
"52",13,"shrubland","Scrub/Shrub","#CCBA7C",2226,8229,8014315.11230937,58167405.7517796,272021.350609559,8229000,0.157977883096367,0.41357987512297
"71",119,"herbaceous","Grassland/Herbaceous","#E2E2C1",2226,8229,8014315.11230937,58167405.7517796,272021.350609559,8229000,1.44610523757443,0.285089040133309
"81",425,"planted","Pasture/Hay","#DBD83D",2226,8229,8014315.11230937,58167405.7517796,272021.350609559,8229000,5.16466156276583,7.8098335642153
"82",77,"planted","Cultivated Crops","#AA7028",2226,8229,8014315.11230937,58167405.7517796,272021.350609559,8229000,0.935715153724632,43.6366921640667
"21",15,"developed","Developed, Open Space","#DDC9C9",1637,1090,1037014.58778892,13143578.9019974,60016.1303311278,1090000,1.37614678899083,4.14080435337131
"22",7,"developed","Developed, Low Intensity","#D89382",1637,1090,1037014.58778892,13143578.9019974,60016.1303311278,1090000,0.642201834862385,1.25839639486438
"41",914,"forest","Deciduous Forest","#68AA63",1637,1090,1037014.58778892,13143578.9019974,60016.1303311278,1090000,83.8532110091743,42.6664399285775
"42",42,"forest","Evergreen Forest","#1C6330",1637,1090,1037014.58778892,13143578.9019974,60016.1303311278,1090000,3.85321100917431,0.671711589150582
"43",15,"forest","Mixed Forest","#B5C98E",1637,1090,1037014.58778892,13143578.9019974,60016.1303311278,1090000,1.37614678899083,0.238074993622991
"52",4,"shrubland","Scrub/Shrub","#CCBA7C",1637,1090,1037014.58778892,13143578.9019974,60016.1303311278,1090000,0.36697247706422,0.263583028654026
"81",71,"planted","Pasture/Hay","#DBD83D",1637,1090,1037014.58778892,13143578.9019974,60016.1303311278,1090000,6.51376146788991,11.1895247002806
"82",15,"planted","Cultivated Crops","#AA7028",1637,1090,1037014.58778892,13143578.9019974,60016.1303311278,1090000,1.37614678899083,38.2535498682085
"95",7,"wetlands","Emergent Herbaceous Wetlands","#70A3BA",1637,1090,1037014.58778892,13143578.9019974,60016.1303311278,1090000,0.642201834862385,0.0935294617804609
"21",18,"developed","Developed, Open Space","#DDC9C9",6874,120,126771.794990782,0,0,120000,15,NA
"22",2,"developed","Developed, Low Intensity","#D89382",6874,120,126771.794990782,0,0,120000,1.66666666666667,NA
"41",30,"forest","Deciduous Forest","#68AA63",6874,120,126771.794990782,0,0,120000,25,NA
"82",64,"planted","Cultivated Crops","#AA7028",6874,120,126771.794990782,0,0,120000,53.3333333333333,NA
"90",6,"wetlands","Woody Wetlands","#BAD8EA",6874,120,126771.794990782,0,0,120000,5,NA
"21",256,"developed","Developed, Open Space","#DDC9C9",7032,7705,7674431.23567839,12167375.6871578,56459.3222367904,7705000,3.32251784555483,5.98814229249012
"22",55,"developed","Developed, Low Intensity","#D89382",7032,7705,7674431.23567839,12167375.6871578,56459.3222367904,7705000,0.713822193380921,0.770750988142292
"23",28,"developed","Developed, Medium Intensity","#ED0000",7032,7705,7674431.23567839,12167375.6871578,56459.3222367904,7705000,0.36340038935756,0.197628458498024
"24",2,"developed","Developed, High Intensity","#AA0000",7032,7705,7674431.23567839,12167375.6871578,56459.3222367904,7705000,0.0259571706683971,0.00988142292490119
"41",6196,"forest","Deciduous Forest","#68AA63",7032,7705,7674431.23567839,12167375.6871578,56459.3222367904,7705000,80.4153147306943,24.1403162055336
"71",89,"herbaceous","Grassland/Herbaceous","#E2E2C1",7032,7705,7674431.23567839,12167375.6871578,56459.3222367904,7705000,1.15509409474367,0.434782608695652
"81",517,"planted","Pasture/Hay","#DBD83D",7032,7705,7674431.23567839,12167375.6871578,56459.3222367904,7705000,6.70992861778066,10.5632411067194
"82",556,"planted","Cultivated Crops","#AA7028",7032,7705,7674431.23567839,12167375.6871578,56459.3222367904,7705000,7.21609344581441,57.6679841897233
"95",6,"wetlands","Emergent Herbaceous Wetlands","#70A3BA",7032,7705,7674431.23567839,12167375.6871578,56459.3222367904,7705000,0.0778715120051914,NA
"21",30,"developed","Developed, Open Space","#DDC9C9",1935,222,217267.555694157,0,0,222000,13.5135135135135,NA
"22",159,"developed","Developed, Low Intensity","#D89382",1935,222,217267.555694157,0,0,222000,71.6216216216216,NA
"23",15,"developed","Developed, Medium Intensity","#ED0000",1935,222,217267.555694157,0,0,222000,6.75675675675676,NA
"90",10,"wetlands","Woody Wetlands","#BAD8EA",1935,222,217267.555694157,0,0,222000,4.5045045045045,NA
"95",8,"wetlands","Emergent Herbaceous Wetlands","#70A3BA",1935,222,217267.555694157,0,0,222000,3.6036036036036,NA
"21",95,"developed","Developed, Open Space","#DDC9C9",6970,2883,2787194.95251013,9341465.15963905,43795.1568143085,2883000,3.29517863336802,3.83684337932704
"22",19,"developed","Developed, Low Intensity","#D89382",6970,2883,2787194.95251013,9341465.15963905,43795.1568143085,2883000,0.659035726673604,0.459937061244251
"23",8,"developed","Developed, Medium Intensity","#ED0000",6970,2883,2787194.95251013,9341465.15963905,43795.1568143085,2883000,0.277488727020465,0.0121036068748487
"24",1,"developed","Developed, High Intensity","#AA0000",6970,2883,2787194.95251013,9341465.15963905,43795.1568143085,2883000,0.0346860908775581,NA
"41",2749,"forest","Deciduous Forest","#68AA63",6970,2883,2787194.95251013,9341465.15963905,43795.1568143085,2883000,95.3520638224072,49.1285403050109
"42",1,"forest","Evergreen Forest","#1C6330",6970,2883,2787194.95251013,9341465.15963905,43795.1568143085,2883000,0.0346860908775581,NA
"71",7,"herbaceous","Grassland/Herbaceous","#E2E2C1",6970,2883,2787194.95251013,9341465.15963905,43795.1568143085,2883000,0.242802636142907,0.4720406681191
"82",3,"planted","Cultivated Crops","#AA7028",6970,2883,2787194.95251013,9341465.15963905,43795.1568143085,2883000,0.104058272632674,25.5386105059308
